WELLID	UNION	VILLAGE	LATITUDE	LONGITUDE	DEPTH-FT	YEAR	KIT-COLOR	ARSENIC
10	Araihazar	Krishnapura	23.7887	90.6522	60	1992	Red	331
14	Araihazar	Krishnapura	23.7886	90.6523	45	1998	Red	302
30	Araihazar	Krishnapura	23.7880	90.6517	45	1995	Red	193
59	Araihazar	Krishnapura	23.7893	90.6525	125	1973	Red	232
85	Duptara	Hatkholapara	23.7920	90.6140	150	1997	Green	19
196	Brahmandi	Narindi	23.7817	90.6250	60	1993	Green	33
197	Brahmandi	Narindi	23.7816	90.6250	55	1998	Green	2
199	Brahmandi	Narindi	23.7819	90.6248	46	1984	Green	1
201	Brahmandi	Narindi	23.7822	90.6246	60	1996	Green	23
220	Brahmandi	Narindi	23.7816	90.6246	60	1998	Red	111
346	Brahmandi	Sulpandi	23.7797	90.6180	30	1987	Red	92
351	Brahmandi	Sulpandi	23.7795	90.6179	45	1993	Red	114
352	Brahmandi	Sulpandi	23.7796	90.6175	40	1998	Red	74
429	Brahmandi	Silmandi	23.7651	90.6176	130	1980	Red	276
441	Brahmandi	Silmandi	23.7654	90.6168	45	1995	Green	35
442	Brahmandi	Silmandi	23.7655	90.6164	65	1995	Red	65
457	Brahmandi	Silmandi	23.7654	90.6156	40	1993	Green	15
546	Duptara	Nagarpara	23.7925	90.6099	120	1997	Green	27
552	Duptara	Nagarpara	23.7939	90.6099	120	1995	Green	25
555	Duptara	Nagarpara	23.7932	90.6102	60	1992	Green	12
561	Duptara	Nagarpara	23.7945	90.6096	110	1999	Green	21
576	Duptara	Kumarpara	23.7970	90.6107	80	1997	Green	1
577	Duptara	Kumarpara	23.7967	90.6108	110	1995	Green	1
578	Duptara	Kumarpara	23.7965	90.6109	120	1994	Green	1
580	Duptara	Kumarpara	23.7963	90.6111	150	1996	Green	1
581	Duptara	Kumarpara	23.7961	90.6110	120	1992	Green	1
607	Duptara	Girda	23.7970	90.6081	65	1991	Red	122
608	Duptara	Girda	23.7973	90.6081	75	1988	Red	135
621	Duptara	Girda	23.7966	90.6087	80	1985	Red	112
625	Duptara	Girda	23.7958	90.6081	95	1999	Green	2
630	Duptara	Nagarpara	23.7942	90.6088	95	1992	Green	1
750	Duptara	Tingaon	23.7878	90.6009	120	1990	Green	1
751	Duptara	Tingaon	23.7881	90.6011	120	1986	Green	1
752	Duptara	Tingaon	23.7881	90.6008	120	1987	Green	1
769	Duptara	Kumarpara	23.7982	90.6107	150	1986	Green	3
771	Duptara	Kumarpara	23.7989	90.6099	35	1995	Green	6
784	Duptara	Kumarpara	23.8000	90.6100	165	1993	Green	1
794	Duptara	Kumarpara	23.8002	90.6109	170	1994	Green	2
802	Araihazar	Jhaugara	23.7882	90.6451	35	1992	Red	75
811	Araihazar	Jhaugara	23.7873	90.6453	100	1976	Red	176
818	Araihazar	Jhaugara	23.7857	90.6450	70	1970	Red	131
820	Araihazar	Jhaugara	23.7856	90.6455	45	1991	Red	111
821	Araihazar	Jhaugara	23.7855	90.6451	35	1990	Red	160
839	Araihazar	Lakhupura	23.7826	90.6367	50	1995	Red	194
849	Araihazar	Lakhupura	23.7824	90.6365	70	1997	Red	178
948	Brahmandi	Baylarkandi	23.7804	90.6384	46	1989	Red	333
