Locality,VoterTurnout,ActiveVoters,PopDensity,PercentFemale,PercentYoung,PercentMinority,PercentCollege,MedianIncome,MedianRent,AvgCommute
ACCOMACK COUNTY,0.526,0.952,74.26114,51.28,6.4,9.06,21.35,52694,974,21
ALBEMARLE COUNTY,0.451,0.939,156.1656,51.95,12.06,12.53,60.13,97708,1570,22
ALEXANDRIA CITY,0.477,0.880,33.94524,50.52,7.51,2.48,15.24,52546,662,25
ALLEGHANY COUNTY,0.490,0.941,37.45211,50.93,5.64,5.28,17.72,63438,1249,37
AMELIA COUNTY,0.548,0.972,66.30496,52.35,9.16,6.85,21.86,64454,811,27
AMHERST COUNTY,0.520,0.963,48.62913,51.33,7.46,4.24,19.28,60041,861,26
APPOMATTOX COUNTY,0.540,0.970,9071.863,49.53,8.49,25.69,76.76,137387,2227,28
ARLINGTON COUNTY,0.511,0.897,80.0694,48.93,7.46,4.79,23.26,76124,1019,24
AUGUSTA COUNTY,0.556,0.970,7.893021,50.37,7.61,1.59,18.34,55699,650,20
BATH COUNTY,0.505,0.959,104.9343,50.54,7.57,6.62,32.56,74773,939,26
BEDFORD COUNTY,0.534,0.964,17.44998,43.28,4.74,2.55,16.42,59901,705,24
BLAND COUNTY,0.485,0.945,62.32307,50.14,7.42,4.52,27.65,77680,869,25
BOTETOURT COUNTY,0.559,0.975,28.19476,46.68,8.84,4.09,16.05,52678,841,33
BRISTOL CITY,0.360,0.896,40.26215,48.12,6.81,1.5,10.94,39591,728,30
BRUNSWICK COUNTY,0.476,0.971,29.10342,44.25,7.31,6.47,12.16,59894,844,39
BUCHANAN COUNTY,0.320,0.966,110.3283,51.2,8.26,7.06,24.65,59022,792,23
BUCKINGHAM COUNTY,0.482,0.969,59.12622,50.43,8.34,11.68,22.31,83562,1212,36
BUENA VISTA CITY,0.365,0.923,61.3509,50.78,7.06,4.86,15.9,49113,643,27
CAMPBELL COUNTY,0.487,0.956,36.95987,50.27,6.39,11.74,16.19,65573,927,36
CAROLINE COUNTY,0.507,0.961,24.32801,49.28,7.17,3.33,16.63,51548,732,34
CARROLL COUNTY,0.482,0.973,864.2599,51.55,8.93,14.51,42.32,95757,1460,26
CHARLES CITY COUNTY,0.494,0.974,84.57689,50.59,7.75,7.28,34.49,107475,1260,35
CHARLOTTE COUNTY,0.503,0.967,14.92846,50.06,3.9,5.25,15.97,66286,687,34
CHARLOTTESVILLE CITY,0.465,0.906,139.3052,50.01,8.34,15.22,26.85,92359,1383,37
