LOWBID	DOTEST	LBERATIO	STATUS	DISTRICT	NUMIDS	DAYSEST	RDLNGTH	PCTASPH	PCTBASE	PCTEXCAV	PCTMOBIL	PCTSTRUC	PCTTRAF	SUBCONT
362916	385963	0.94029	0	1	3	100	7.2000	0.626369	0.000000	0.091475	0.019977	0.116770	0.09170	0
152056	175396	0.86693	1	1	3	75	0.0000	0.153284	0.012364	0.142221	0.047351	0.018020	0.14764	0
239665	194650	1.23126	1	1	3	65	0.2060	0.082670	0.000000	0.105314	0.049235	0.222602	0.06029	0
1559368	1925307	0.80993	0	1	10	250	3.6000	0.189911	0.298819	0.238240	0.011543	0.166206	0.04054	0
144062	252925	0.56958	0	1	8	90	23.7000	0.316169	0.245298	0.159904	0.003471	0.082562	0.00882	0
1187104	1573451	0.75446	0	1	5	230	2.6000	0.281976	0.214393	0.241728	0.008424	0.147573	0.02250	0
23665	32538	0.72732	0	5	7	60	0.3000	0.105387	0.229345	0.219792	0.021128	0.085187	0.03068	0
169766	175947	0.96487	1	5	4	125	2.4000	0.496166	0.110852	0.171452	0.035343	0.057540	0.05007	0
1082174	1085868	0.99660	0	1	6	400	0.0000	0.172551	0.217694	0.074132	0.010165	0.348447	0.03518	0
433153	545262	0.79439	0	5	5	230	0.0000	0.156672	0.239753	0.322400	0.021932	0.162894	0.02267	0
668527	596893	1.12001	1	1	3	120	0.4000	0.000000	0.000000	0.813995	0.068808	0.000000	0.04936	0
1884394	1550490	1.21535	1	1	3	350	0.0000	0.120069	0.210716	0.114872	0.065273	0.294617	0.04894	0
81806	93487	0.87506	0	1	2	70	0.0000	0.314807	0.134230	0.153887	0.057453	0.172994	0.06723	0
271936	223894	1.21457	1	1	4	110	0.0000	0.112309	0.209732	0.155419	0.036773	0.175913	0.13777	1
3299965	2805892	1.17608	1	1	4	525	4.4000	0.178905	0.323414	0.132577	0.045455	0.144187	0.06102	0
581641	785386	0.74058	0	2	4	200	0.0000	0.096999	0.246946	0.331396	0.003439	0.081797	0.16508	0
240056	429240	0.55926	0	2	10	120	4.7000	0.188611	0.291164	0.378694	0.014580	0.046248	0.00422	0
332824	376373	0.88429	0	2	8	140	3.9000	0.179516	0.283941	0.288606	0.006009	0.132162	0.00376	0
800602	1031446	0.77619	0	2	8	425	0.0000	0.176106	0.217593	0.326436	0.003747	0.083430	0.00250	0
1747876	1493453	1.17036	0	2	6	445	0.0000	0.156903	0.148063	0.281872	0.002861	0.273857	0.02094	0
6584109	5949351	1.10669	0	1	7	675	0.0166	0.241106	0.232977	0.038806	0.144152	0.000000	0.00000	*
7098108	8296800	0.85552	0	1	9	510	0.0000	0.209821	0.206319	0.275590	0.025711	0.215388	0.01765	0
158315	186899	0.84706	0	1	2	60	6.1000	0.924202	0.000000	0.000000	0.000000	0.000000	0.07580	0
1353511	1617527	0.83678	0	1	7	200	4.3000	0.329704	0.155077	0.330417	0.017732	0.075051	0.03235	0
371980	327471	1.13592	1	5	2	120	0.5222	0.036511	0.103702	0.104844	0.038287	0.078391	0.00000	*
4833817	6225037	0.77651	0	5	8	520	0.0000	0.912094	0.000000	0.021225	0.012619	0.005213	0.02777	1
268454	308087	0.87136	0	1	6	75	6.6000	0.926094	0.000000	0.030093	0.005588	0.000000	0.00559	0
127306	137518	0.92574	0	5	4	30	0.9240	0.000000	0.000000	0.025136	0.000000	0.014139	0.00000	*
551451	497737	1.10792	1	1	3	100	0.3000	0.147421	0.113510	0.191504	0.063469	0.112918	0.13834	0
76809	75252	1.02069	1	1	3	90	1.2000	0.250773	0.424567	0.191384	0.013019	0.007812	0.05260	0
88982	66060	1.34698	1	1	4	90	0.0000	0.032481	0.079615	0.207847	0.112383	0.311685	0.24747	0
2558195	2741045	0.93329	0	1	4	365	0.0000	0.108194	0.125330	0.119534	0.048863	0.384185	0.07763	1
4765172	5035937	0.94623	0	4	11	300	4.6000	0.035136	0.193067	0.378349	0.061430	0.252977	0.00121	0
4770881	7511329	0.63516	0	1	13	600	3.4000	0.144058	0.171259	0.385825	0.010753	0.176612	0.00288	0
105605	128715	0.82045	0	5	2	60	0.5000	0.215323	0.328420	0.191980	0.029127	0.128138	0.02841	0
138017	149283	0.92454	0	2	5	40	0.9804	0.000000	0.000000	0.010868	0.000000	0.008695	0.00000	*
147562	162230	0.90958	0	2	4	40	0.9797	0.000000	0.000000	0.010165	0.000000	0.010165	0.00000	*
5411511	5086247	1.06395	0	1	7	815	3.1000	0.116001	0.150139	0.329287	0.023099	0.270904	0.00924	0
7622165	7871191	0.96836	0	1	6	700	0.0324	0.141763	0.372145	0.017712	0.190845	0.009249	0.00000	*
110463	120070	0.91999	0	5	5	70	1.1000	0.509959	0.220769	0.091177	0.008001	0.058289	0.05386	0
607508	809089	0.75085	0	5	4	185	0.8838	0.009448	0.002930	0.011692	0.000000	0.025251	0.00000	*
728200	916968	0.79414	0	5	4	185	0.8871	0.000000	0.047332	0.014813	0.000000	0.008239	0.00000	*
181587	146456	1.23987	0	5	3	135	0.0000	0.276777	0.127471	0.109787	0.011626	0.291608	0.05369	0
648915	563885	1.15079	1	5	3	140	16.4000	0.769712	0.000000	0.060871	0.038526	0.000000	0.03890	0
122624	95381	1.28562	0	5	4	120	0.0000	0.017125	0.000000	0.208833	0.040775	0.377641	0.04893	0
1367070	1433618	0.95358	0	5	8	475	0.0000	0.144465	0.269645	0.125948	0.007315	0.220449	0.03880	1
470714	447748	1.05129	0	2	8	150	0.7000	0.150592	0.163263	0.114467	0.012747	0.279414	0.03962	0
65166	84751	0.76891	0	2	7	60	12.2000	0.751267	0.000000	0.115644	0.015346	0.000000	0.01535	0
209556	177711	1.17919	1	5	2	110	0.8558	0.000000	0.000000	0.047720	0.000000	0.059650	0.00000	*
138714	174255	0.79604	0	5	5	70	0.4562	0.361652	0.083625	0.021627	0.000000	0.045778	0.00000	*
640477	767804	0.83417	0	5	4	90	0.8559	0.000000	0.075874	0.008119	0.000000	0.030590	0.00000	*
496491	879396	0.56458	0	5	7	140	9.8000	0.418124	0.360916	0.085718	0.013092	0.014502	0.02711	1
462902	464866	0.99578	1	5	2	90	0.7733	0.000000	0.105311	0.013869	0.000000	0.057788	0.00000	*
586811	709853	0.82667	0	5	6	120	10.3000	0.628673	0.188789	0.079888	0.016189	0.017924	0.02011	0
192810	227696	0.84679	0	1	5	60	7.3000	0.833097	0.000000	0.143146	0.002593	0.000000	0.02116	0
143128	172710	0.82872	0	5	6	50	0.8217	0.000000	0.118890	0.006987	0.000000	0.016070	0.00000	*
202496	300320	0.67427	0	5	5	100	18.0000	0.914068	0.000000	0.000000	0.002469	0.000000	0.00247	0
99918	118988	0.83974	1	5	5	70	0.0000	0.262711	0.257085	0.115094	0.100082	0.116013	0.06155	0
258443	306441	0.84337	0	5	7	75	6.4000	0.780796	0.143498	0.017219	0.003095	0.000000	0.00743	0
115416	117936	0.97863	0	1	12	65	2.8000	0.646738	0.277002	0.025993	0.008664	0.000000	0.00433	0
84787	97627	0.86848	0	5	6	50	2.0000	0.574359	0.205172	0.036774	0.017691	0.102008	0.02359	0
43673	41094	1.06275	0	1	4	30	1.8000	0.875775	0.000000	0.107052	0.005724	0.000000	0.01145	0
147807	143337	1.03118	1	5	3	50	6.3000	0.880927	0.000000	0.066303	0.010148	0.000000	0.01015	0
45168	68280	0.66151	0	5	3	65	3.6000	0.893420	0.000000	0.000000	0.019926	0.000000	0.04428	0
495466	541810	0.91446	0	5	5	140	0.8938	0.000000	0.043997	0.003027	0.000000	0.014128	0.00000	*
150548	174483	0.86283	0	5	3	110	8.8000	0.702862	0.235868	0.000000	0.021833	0.000000	0.03944	0
239514	315107	0.76011	0	1	4	100	4.0000	0.564317	0.000000	0.084398	0.004175	0.131441	0.01670	0
260643	351799	0.74089	0	1	4	120	4.5000	0.649532	0.000000	0.060106	0.003837	0.030962	0.01535	0
77319	101043	0.76520	0	5	3	90	1.6000	0.835277	0.000000	0.066414	0.012934	0.000000	0.02587	0
836034	1046979	0.79852	0	5	2	250	0.6043	0.000000	0.151192	0.002392	0.066957	0.009569	1.00000	*
346763	394208	0.87965	0	5	3	150	6.2000	0.670882	0.143143	0.107482	0.002884	0.011956	0.03461	0
359453	333453	1.07797	0	1	5	190	0.0000	0.270825	0.370301	0.229901	0.011128	0.026974	0.05319	0
480563	480314	1.00052	0	5	4	125	14.3000	0.838547	0.000000	0.063227	0.024971	0.000000	0.03640	0
201317	182944	1.10043	0	5	3	90	5.6000	0.827903	0.083545	0.009075	0.039738	0.000000	0.03974	0
91664	100306	0.91385	0	1	4	90	0.0000	0.181162	0.072377	0.232621	0.021819	0.078039	0.16920	0
546165	622918	0.87678	0	5	3	165	5.9000	0.508698	0.000000	0.084901	0.007324	0.244915	0.03292	0
77624	74290	1.04488	1	5	2	75	1.2000	0.606977	0.000000	0.000000	0.103061	0.006957	0.15459	0
259991	319588	0.81352	1	5	4	90	0.0000	0.798450	0.000000	0.045367	0.034617	0.000000	0.08462	0
473202	548008	0.86350	0	5	3	130	4.2000	0.738380	0.000000	0.034106	0.042265	0.037405	0.02099	0
138893	123307	1.12640	0	1	3	150	0.0000	0.285391	0.056869	0.155926	0.035999	0.104814	0.07200	0
1731469	1672532	1.03524	0	1	3	400	0.0000	0.025810	0.096703	0.135535	0.023102	0.173455	0.03056	0
2995894	3452900	0.86765	0	1	2	595	0.0000	0.303493	0.235031	0.101833	0.020027	0.248358	0.02068	0
2130044	2019871	1.05454	0	1	5	450	0.0000	0.165754	0.165334	0.163196	0.069459	0.191232	0.05538	0
181692	194816	0.93263	0	1	5	60	0.7637	0.165756	0.024740	0.016511	0.000000	0.011008	0.00000	*
2301067	2505605	0.91837	0	5	7	400	1.9000	0.102279	0.164932	0.251545	0.009995	0.300858	0.01597	0
257511	205857	1.25092	1	1	4	130	0.7019	0.091400	0.078618	0.008155	0.000000	0.043493	1.00000	*
113612	132386	0.85818	0	2	9	70	2.0000	0.244919	0.357464	0.189669	0.008802	0.077869	0.04859	0
249056	235622	1.05701	1	1	2	80	0.8795	0.000000	0.040152	0.000000	0.000000	0.080303	0.00000	*
383661	410951	0.93359	1	1	3	60	0.8778	0.000000	0.040400	0.023458	0.000000	0.058385	0.00000	*
195676	199095	0.98283	0	1	3	50	3.5000	0.868201	0.000000	0.033218	0.040884	0.000000	0.05770	0
132446	98529	1.34423	1	1	2	50	0.1368	0.095592	0.157230	0.045679	0.013817	0.124390	0.00000	*
2473264	2618238	0.94463	0	1	4	630	3.0000	0.211662	0.172081	0.057060	0.020216	0.396201	0.03227	0
5196216	6365134	0.81636	0	1	9	805	4.3000	0.123191	0.142566	0.358413	0.042916	0.202155	0.01386	0
1571152	1759205	0.89310	0	1	5	385	0.1092	0.183216	0.208006	0.041013	0.259131	0.017974	0.00000	*
3864599	3991031	0.96832	0	1	7	800	2.8000	0.123408	0.145963	0.199150	0.043730	0.388419	0.01346	0
646395	818541	0.78969	0	1	5	400	0.0000	0.020156	0.020457	0.357836	0.030941	0.453866	0.06227	0
225412	222880	1.01136	1	1	2	60	8.9000	0.929019	0.000000	0.000000	0.033272	0.000000	0.03771	0
63829	67327	0.94805	1	1	2	55	0.5518	0.000000	0.000000	0.031334	0.000000	0.028200	0.00000	*
10270446	10467396	0.98118	0	1	8	720	0.0000	0.014296	0.040691	0.237617	0.029210	0.268787	0.00394	0
2140883	2152008	0.99483	0	1	3	400	12.8000	0.592389	0.044319	0.018376	0.035032	0.138637	0.07707	0
65726	48683	1.35009	0	1	2	30	0.0000	0.173824	0.026154	0.060067	0.188661	0.000000	0.05555	0
1270078	1306333	0.97225	1	1	3	195	0.6567	0.117555	0.063457	0.033069	0.042330	0.056296	0.00000	*
1055141	1148652	0.91859	0	1	5	400	0.0000	0.047293	0.064760	0.331737	0.061603	0.383236	0.07061	0
856458	938141	0.91293	0	1	4	375	0.0000	0.024391	0.048277	0.207431	0.060715	0.543932	0.05692	0
889683	803247	1.10761	1	1	2	120	0.0000	0.751111	0.000000	0.067440	0.061820	0.002360	0.07081	0
927379	902030	1.02810	0	1	3	400	0.0000	0.009089	0.012860	0.338639	0.080873	0.500809	0.03855	0
424531	388738	1.09208	1	1	2	45	0.0000	0.741641	0.000000	0.000000	0.070666	0.006360	0.12720	0
339884	428817	0.79261	0	1	3	165	0.0000	0.357831	0.000000	0.065119	0.079439	0.057459	0.05590	0
5654863	5447587	1.03805	1	1	3	500	0.2997	0.019364	0.193736	0.061894	0.009201	0.035368	0.00000	*
136059	181094	0.75132	0	1	3	100	0.1029	0.165502	0.165443	0.031236	0.161406	0.055123	0.00000	*
2527474	2616811	0.96586	0	1	4	350	2.2000	0.355570	0.083734	0.076919	0.017804	0.266780	0.03047	0
726579	778269	0.93358	0	1	5	220	1.0000	0.220370	0.166576	0.076787	0.020645	0.352698	0.02209	0
128380	151887	0.84523	0	1	3	75	0.8088	0.000000	0.040131	0.019863	0.044789	0.058420	0.00000	*
346515	331096	1.04657	0	5	5	190	0.0000	0.396940	0.071589	0.249731	0.012986	0.103909	0.03038	0
320634	357367	0.89721	1	1	2	190	0.0000	0.372411	0.010045	0.103778	0.015594	0.171493	0.05614	0
549636	413081	1.33058	1	1	3	120	0.5846	0.032913	0.104026	0.031839	0.124368	0.047850	0.00000	*
63662	57394	1.10921	1	1	2	70	0.2000	0.038935	0.046808	0.126111	0.078540	0.004712	0.07241	0
199996	168985	1.18351	1	1	3	90	0.0000	0.618486	0.070676	0.065475	0.032501	0.036491	0.07505	0
656745	750821	0.87470	1	1	4	180	6.3000	0.431883	0.156549	0.132319	0.068520	0.104365	0.03045	0
1949626	1880828	1.03658	1	1	4	330	0.0000	0.189887	0.200983	0.330258	0.044111	0.147082	0.02169	0
241700	243968	0.99070	1	1	3	45	1.6000	0.803815	0.000000	0.018913	0.051717	0.000000	0.05379	0
65790	82358	0.79883	0	1	4	60	0.0000	0.298901	0.143368	0.151420	0.079039	0.111870	0.13847	0
9453355	9479734	0.99722	0	1	6	500	2.7000	0.008616	0.159030	0.421831	0.062094	0.142985	0.01540	0
161327	164033	0.98350	0	1	12	100	1.6000	0.180234	0.411105	0.235549	0.018596	0.025946	0.06732	0
1379431	1386293	0.99505	1	5	4	250	9.0000	0.107286	0.244582	0.403471	0.000000	0.112885	0.02537	0
202334	248892	0.81294	0	5	4	120	1.8000	0.036074	0.316462	0.271143	0.000000	0.110484	0.01730	0
397119	467488	0.84947	0	5	4	180	0.0000	0.047753	0.194395	0.167804	0.000000	0.174401	0.04130	0
374999	432334	0.86738	0	2	4	120	0.0000	0.164852	0.318225	0.339935	0.010667	0.050219	0.02176	0
613333	616390	0.99504	0	5	2	160	0.0000	0.087913	0.099538	0.166182	0.008152	0.028539	0.03799	0
537173	676406	0.79416	0	2	8	225	2.4000	0.140654	0.211424	0.209178	0.027924	0.178125	0.03018	0
216468	406470	0.53256	0	1	14	130	0.1412	0.348100	0.328899	0.012473	0.078684	0.042501	0.00000	*
189017	269548	0.70124	0	3	12	115	3.0000	0.151915	0.219953	0.332101	0.005291	0.143542	0.01137	0
93484	92359	1.01218	0	5	5	60	0.0000	0.402612	0.205007	0.225152	0.001070	0.071148	0.00749	0
1115124	1148526	0.97092	0	2	9	250	0.1000	0.168080	0.146908	0.243965	0.003587	0.227895	0.01282	0
698476	646428	1.08052	0	2	7	180	1.6000	0.265368	0.136211	0.201111	0.001432	0.285393	0.00860	0
