USGross,Budget,RunTime,Rating,,,,
304.360277,200,143,92,,,,
25.888412,35,101,12,,,,
139.854287,45,91,21,,,,
42.345531,65,95,31,,,,
37.400127,26,115,67,,,,
13.7493,2,100,49,,,,
56.003051,60,93,87,,,,
63.536011,30,121,74,,,,
58.877969,125,121,30,,,,
218.815487,50,106,68,,,,
155.332381,170,133,48,,,,
179.020854,215,106,70,,,,
60.457138,25,101,20,,,,
83.670083,150,100,25,,,,
18.450127,40,91,0,,,,
35.025791,14,129,31,,,,
17.450535,32.5,98,59,,,,
54.760791,65,98,26,,,,
49.876377,58,121,40,,,,
30.932113,27.5,118,33,,,,
64.006466,135,117,46,,,,
35.014192,8,100,93,,,,
35.060689,15,100,93,,,,
17.687709,5,86,24,,,,
31.177548,20,113,77,,,,
100.240551,163,119,44,,,,
35.608245,30,98,35,,,,
352.390543,195,92,36,,,,
165.249063,150,91,81,,,,
40.259119,30,111,72,,,,
54.712227,32,93,92,,,,
37.412945,40,104,71,,,,
21.392758,150,88,37,,,,
62.495645,50.2,106,72,,,,
10.721033,50,104,45,,,,
103.028109,80,117,19,,,,
23.20931,30,108,30,,,,
70.66222,25,108,49,,,,
39.440655,55,100,37,,,,
23.24002,12,98,43,,,,
21.148651,30,122,52,,,,
37.729698,21,120,32,,,,
90.380162,60,111,71,,,,
24.719879,17,99,34,,,,
25.003155,24,89,73,,,,
103.068524,82,103,41,,,,
162.001186,75,102,10,,,,
76.423035,117,130,53,,,,
47.059963,75,100,11,,,,
48.071303,28,117,76,,,,
32.01086,20,104,58,,,,
334.19111,200,109,51,,,,
110.485654,52,117,18,,,,
24.077427,52,95,37,,,,
94.835059,80,118,48,,,,
24.307086,28,92,12,,,,
25.91892,19,97,21,,,,
19.676965,80,110,37,,,,
15.051977,25,116,45,,,,
25.48604,10,98,19,,,,
27.693292,11,120,37,,,,
19.551067,65,94,49,,,,
18.451251,18.5,100,58,,,,
13.043363,15,111,84,,,,
38.577772,80,89,39,,,,
11.965282,12.5,101,22,,,,
33.862903,15,99,7,,,,
25.200412,45,86,31,,,,
51.855045,72.5,136,68,,,,
119.43677,150,90,22,,,,
177.243721,150,105,44,,,,
25.662155,25,83,18,,,,
13.684249,20,85,63,,,,
32.752215,15,109,41,,,,
65.002019,17,95,25,,,,
35.922978,80,92,12,,,,
143.153751,60,120,64,,,,
18.622031,29,122,92,,,,
148.095302,25,116,79,,,,
8.050977,35,107,27,,,,
49.554002,130,165,55,,,,
192.769854,20,120,49,,,,
3.351751,25,118,43,,,,
19.21925,20,101,14,,,,
39.263506,20,110,45,,,,
15.298133,45,100,9,,,,
11.537046,23,94,40,,,,
39.053061,25,119,77,,,,
144.130063,52,108,54,,,,
101.70437,45,92,61,,,,
100.018837,90,113,37,,,,
80.277646,35,99,27,,,,
52.07527,55,113,64,,,,
17.432844,25,90,48,,,,
81.159365,35,123,36,,,,
24.850922,21,110,22,,,,
7.56367,10,95,15,,,,
38.233676,30,86,2,,,,
20.688843,22,104,22,,,,
26.890041,20,87,0,,,,
