FLIGHT	ALTITUDE	LATERAL	RESPONSE
1	0.91	4.9900	1
2	0.91	8.2100	1
3	0.91	3.3800	1
4	9.14	21.0800	0
5	1.52	6.6000	1
6	0.91	3.3800	1
7	3.05	0.1600	1
8	6.10	3.3800	1
9	3.05	6.6000	1
10	12.19	6.6000	1
11	4.57	4.9900	1
12	0.91	4.9900	0
13	6.10	0.1600	0
14	0.91	1.7700	1
15	3.05	4.9900	1
16	0.91	11.4300	1
17	3.05	6.6000	1
18	4.57	6.5200	0
19	12.19	6.6000	1
20	1.52	4.9900	0
21	1.52	4.9900	1
22	1.52	9.8200	0
23	4.57	32.1900	0
24	3.05	3.3800	1
25	9.14	3.3800	1
26	0.91	21.0800	1
27	4.57	3.3800	1
28	1.52	19.4700	0
29	1.52	11.4300	0
30	0.91	1.7700	1
31	3.05	4.9900	1
32	9.14	1.7700	1
33	1.52	0.1600	1
34	4.57	14.5600	0
35	0.91	13.0400	0
36	1.52	3.3800	1
37	3.05	4.9900	1
38	0.91	3.3800	1
39	0.91	16.2500	0
40	0.91	27.5200	0
41	0.91	4.9900	1
42	4.57	35.5700	0
43	3.05	4.9900	1
44	4.57	3.3800	1
45	1.52	32.3500	0
46	6.10	1.7700	1
47	3.05	11.4300	1
48	4.57	0.1600	1
49	4.57	16.0900	0
50	4.57	20.9200	0
51	3.05	29.1300	0
52	1.52	3.3800	1
53	1.52	6.6000	0
54	1.52	19.4700	0
55	4.57	32.1900	0
56	1.52	1.7700	1
57	3.05	11.4300	0
58	3.05	1.7700	1
59	6.10	3.3800	1
60	3.05	3.3800	1
61	0.91	4.9900	1
62	0.91	16.2500	0
63	3.05	9.8200	0
64	0.91	3.3800	1
65	3.05	4.9900	1
66	4.57	25.7500	0
67	3.05	1.7700	1
68	3.05	0.1600	1
69	6.10	3.3800	1
70	3.05	8.2100	1
71	3.05	17.8600	0
72	6.10	8.2100	1
73	3.05	3.3800	1
74	1.52	3.3800	1
75	3.05	6.6000	1
76	0.91	17.8600	0
77	3.05	4.9900	1
78	1.52	9.8200	1
79	4.57	32.1900	1
80	3.05	4.9900	1
81	6.10	3.3800	1
82	0.91	3.3800	1
83	4.57	8.0500	1
84	3.05	6.6000	1
85	4.57	9.8200	1
86	0.91	0.1600	1
87	4.57	16.0900	0
88	1.52	14.6500	1
89	1.52	9.8200	1
90	1.52	17.8600	1
91	3.05	0.1600	1
92	0.91	3.3800	1
93	0.91	4.9900	1
94	1.52	3.3800	1
95	4.57	28.9700	0
96	0.91	19.4700	0
97	1.52	27.5200	0
98	3.05	22.6900	0
99	1.52	1.7700	1
100	12.19	13.0400	1
101	1.52	3.3800	1
102	4.57	28.9700	0
103	3.05	29.1300	0
104	0.91	0.1600	1
105	3.05	17.8600	0
106	1.52	4.9900	1
107	0.91	13.0400	1
108	1.52	1.7700	1
109	1.52	22.6900	0
110	1.52	17.8600	0
111	4.57	4.9900	1
112	3.05	6.6000	1
113	4.57	0.1600	1
114	0.91	3.3800	1
115	0.91	24.4600	0
116	1.52	11.4300	0
117	1.52	21.0800	0
118	0.91	4.9900	1
119	0.91	0.1600	1
120	1.52	21.0800	0
121	4.57	0.1600	1
122	4.57	24.3000	0
123	4.57	4.9100	0
124	4.57	9.8200	0
125	6.10	19.4700	1
126	3.05	17.8600	1
127	0.91	6.6000	1
128	4.57	4.9100	0
129	4.57	1.7700	1
130	1.52	29.1300	0
131	0.91	29.1300	0
132	9.14	0.1600	1
133	6.10	3.3800	1
134	3.05	4.9900	0
135	3.05	9.8200	1
136	3.05	8.2100	1
137	4.57	0.1600	1
138	4.57	9.8200	0
139	1.52	29.1300	0
140	6.10	16.2500	0
141	3.05	4.9900	1
142	0.91	17.8600	0
143	0.91	4.9900	1
144	3.05	11.4300	0
145	0.91	0.1600	1
146	6.10	4.9900	1
147	1.52	17.8600	0
148	1.52	16.2500	0
149	6.10	3.3800	1
150	0.91	1.7700	1
151	4.57	13.0400	0
152	1.52	24.3000	0
153	0.91	19.4700	0
154	6.10	0.1600	0
155	1.52	6.6000	1
156	6.10	38.7900	0
157	3.05	8.2100	1
158	3.05	6.6000	1
159	0.91	0.1600	1
160	1.52	40.3900	0
161	1.52	13.0400	0
162	9.14	0.1600	1
163	6.10	11.4300	1
164	3.05	8.2100	0
165	1.52	4.9900	0
166	3.05	13.0400	1
167	6.10	1.7700	0
168	3.05	0.1600	1
169	1.52	25.9100	0
170	6.10	9.8200	1
171	6.10	17.8600	1
172	4.57	8.1300	1
173	4.57	37.1800	0
174	1.52	0.1600	1
175	12.19	4.9900	1
176	0.91	8.2100	0
177	4.57	4.9900	1
178	4.57	0.0000	1
179	0.91	0.1600	1
180	4.57	48.2800	0
181	6.10	3.3800	1
182	1.52	21.0800	0
183	4.57	32.1900	0
184	3.05	9.8200	1
185	4.57	8.1300	1
186	1.52	0.1600	1
