state,AverageRent,AverageApartmentSize,CostOfLiving2025
Massachusetts,2841,881,141.2
California,2619,853,142.3
New York,2464,888,125.1
District of Columbia,2452,747,138.8
New Jersey,2413,869,115.1
Rhode Island,2178,925,110.6
New Hampshire,2138,874,111.4
Connecticut,2130,895,112.7
Illinois,2027,839,94.7
Washington,2023,830,114.1
Virginia,1969,924,100.8
Florida,1962,983,102.2
Maryland,1872,907,115.4
Colorado,1815,876,102.7
Pennsylvania,1778,889,97.2
Oregon,1728,844,111.8
Montana,1706,889,95.5
Delaware,1679,919,101.9
Idaho,1652,929,99.9
Georgia,1637,1026,92.5
Minnesota,1636,892,94.6
South Carolina,1611,1015,94.7
Utah,1603,925,102.2
Wisconsin,1593,919,97.7
Arizona,1562,863,110.7
North Carolina,1549,976,97.8
Tennessee,1526,952,90.3
Nevada,1518,908,100.2
Texas,1438,891,92.1
Michigan,1400,921,90.1
New Mexico,1388,831,93.7
Nebraska,1336,933,92.6
Missouri,1334,901,89
Ohio,1334,901,94.3
Mississippi,1324,1003,87.3
Indiana,1323,908,91
Kentucky,1322,936,92.5
Kansas,1316,910,88.8
Alabama,1315,990,88.6
Louisiana,1248,920,92.3
Iowa,1226,897,89.7
South Dakota,1201,915,91.9
North Dakota,1162,964,91.4
Arkansas,1128,895,89.6
Oklahoma,1059,858,86
