PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,RK,Position,SALARY
Kevin Durant,PHX,35,75,44,31,37.2,118.1,113.3,4.8,21.3,1.55,16.9,1.6,15.5,8.9,10.9,58.1,62.6,28.3,100.24,14.8,5832,4, F,"51,179,021.00"
Kawhi Leonard,LAC,33,68,44,24,34.3,119.3,111.1,8.2,16.5,2.05,14.9,3.9,13.8,9.1,7.3,58.5,62.6,26.1,97.77,15.4,4747,6, F,"49,350,000.00"
Jayson Tatum,BOS,26,74,57,17,35.7,121.7,110.5,11.2,21.1,1.94,16.7,2.6,18.7,11,8.6,55.2,60.4,29.6,98.64,15.5,5436,40, F,"34,848,340.00"
Devin Booker,PHX,27,68,43,25,36,119.3,113.5,5.8,29.9,2.65,22.1,2.4,9.8,6.3,8.3,55,61.1,28.9,99.96,14.2,5103,7, G,"49,205,800.00"
Michael Porter Jr.,DEN,26,81,57,24,31.7,120.2,112.1,8.1,6.4,1.33,9.1,4.2,17.7,11.1,6.9,58.6,60.1,20.2,97.81,10.6,5247,34, F,"35,859,950.00"
Paul George,LAC,34,74,48,26,33.8,121.2,112.1,9.1,15.7,1.71,14.8,1.6,13.8,8,8.7,56.9,61.3,26.4,97.47,12.6,5080,8, F,"49,205,800.00"
Jaylen Brown,BOS,27,70,52,18,33.5,120.2,111.6,8.7,16.5,1.5,13.9,3.7,11.9,8,9.3,55.7,58,28.3,99.94,11.6,4873,10, G,"49,205,800.00"
Giannis Antetokounmpo,MIL,29,73,45,28,35.2,119.8,113.2,6.6,31.4,1.9,19.6,7.7,23.7,15.9,10.3,62.4,64.9,32,102.1,19.7,5451,12, F,"48,787,676.00"
Damian Lillard,MIL,33,73,48,25,35.3,119.4,112.4,6.9,28.4,2.63,23.2,1.4,10.2,6,8.8,51,59,27.4,102.06,13.2,5486,13, G,"48,787,676.00"
Rudy Gobert,MIN,32,76,53,23,34.1,114.6,106.6,8,5.7,0.86,10.1,11.8,25.6,19.1,11.7,66.1,67.5,15.2,97.22,13.6,5248,16, C,"43,827,587.00"
Shai Gilgeous-Alexander,OKC,25,75,55,20,34,121,109.7,11.3,28.7,2.87,19.5,2.6,12.8,8,6.8,56.7,63.6,31.7,102.45,18.7,5447,33, G,"35,859,950.00"
Anthony Davis,LAL,31,76,45,31,35.5,116.5,114,2.6,15.1,1.67,13.8,9.3,25.2,17.6,8.3,56.7,62.1,26.1,102.06,16.8,5743,17, F,"43,219,440.00"
Anthony Edwards,MIN,22,79,54,25,35.1,115.8,108.5,7.3,24.1,1.68,16.8,2,13.1,7.8,10,52.2,57.5,31.4,98.18,14.5,5675,22, G,"42,176,400.00"
Kentavious Caldwell-Pope,DEN,31,76,54,22,31.6,122.4,111,11.3,9,2.44,20.7,1.4,6.2,3.9,8.5,56.6,60.2,12.6,97.99,6.1,4910,74, G,"22,757,000.00"
Jrue Holiday,BOS,34,69,53,16,32.8,120.6,110.9,9.7,19.6,2.69,28.3,3.8,11.7,7.9,10.5,58.1,59.7,16.1,98.91,9.9,4653,49, G,"30,000,000.00"
Domantas Sabonis,SAC,28,82,46,36,35.7,116,115.2,0.8,33.4,2.47,30.8,9.7,29.5,19.2,12.4,60.9,63.7,22,99.61,16.9,6085,26, F,"40,500,000.00"
Aaron Gordon,DEN,28,73,49,24,31.5,119.8,111.1,8.7,14.7,2.47,21.7,7.8,12.9,10.4,8.8,58.4,60.7,17.4,98.01,10.3,4697,73, F,"22,841,455.00"
Jalen Brunson,NYK,27,77,49,28,35.4,121.2,112.6,8.6,31.5,2.79,20.5,1.5,8.8,5.1,7.4,54.3,59.2,31.1,96.68,15.6,5508,65, G,"24,960,001.00"
Jamal Murray,DEN,27,59,44,15,31.5,120.7,112.4,8.2,29.6,3.07,24.6,2.4,10.5,6.6,8,55.4,58.6,27.3,97.75,13.7,3790,32, G,"36,016,200.00"
Brook Lopez,MIL,36,79,48,31,30.5,117.1,111.9,5.2,7.1,1.61,12.5,4.9,11,8.1,7.8,58.3,60.8,15.6,102.16,8.3,5137,71, C,"23,000,000.00"
Jaden McDaniels,MIN,23,72,48,24,29.2,114.2,110.4,3.8,6.7,1.16,11.9,2.8,7.8,5.4,10.2,55.7,57.1,15.6,97.36,5.6,4268,70, F,"23,017,242.00"
James Harden,LAC,34,72,46,26,34.3,120.9,115.2,5.6,33.8,3.32,35.1,1.5,13.4,7.7,10.6,54.1,61.2,20.2,96.87,13.1,4988,43, G,"33,653,846.00"
Isaiah Hartenstein,NYK,26,75,47,28,25.3,120.3,110.3,10,12.7,2.02,26.6,12.9,20.1,16.5,13.2,64.5,67,11.6,97.89,11.3,3876,48, C,"30,000,000.00"
Stephen Curry,GSW,36,74,43,31,32.7,117.3,114.7,2.7,24.1,1.8,17.5,1.5,11.6,6.6,9.7,57.3,61.6,30.2,101.9,14,5163,1, G,"55,761,216.00"
Tyrese Maxey,PHI,23,70,43,27,37.5,118.3,113.2,5.2,25.7,3.73,20.5,1.4,8.5,4.9,5.5,52.4,57.3,27.3,98.52,12.9,5400,37, G,"35,147,000.00"
CJ McCollum,NOP,32,66,42,24,32.7,115.9,112.2,3.7,20.9,2.77,19.9,1.8,11.6,6.7,7.2,57.2,59.2,24.4,99.19,11.8,4474,44, G,"33,333,333.00"
De'Aaron Fox,SAC,26,74,42,32,35.9,116.6,112.3,4.3,24.4,2.15,17.8,2.4,10.4,6.2,8.3,53.4,56.7,30,101.7,12.8,5629,38, G,"34,848,340.00"
Karl-Anthony Towns,MIN,28,62,42,20,32.7,116.3,109.1,7.2,14.7,1.07,13.2,5,20.4,13.1,12.3,57.5,62.5,26.8,98.37,14,4161,9, C,"49,205,800.00"
Zion Williamson,NOP,23,70,42,28,31.5,114.5,111.6,2.9,25.6,1.82,19.1,5.5,12.7,9.1,10.5,57.3,61,28.5,101.34,14.5,4663,29, F,"36,725,670.00"
