ANTIMONY	METHOD	STRENGTH
0	WQ	17.6
0	WQ	19.5
0	WQ	18.3
0	OQ	20.0
0	OQ	24.3
0	OQ	21.9
0	AB	18.3
0	AB	19.8
0	AB	22.9
0	FC	19.4
0	FC	19.8
0	FC	20.3
3	WQ	18.6
3	WQ	19.5
3	WQ	19.0
3	OQ	20.0
3	OQ	20.9
3	OQ	20.4
3	AB	21.7
3	AB	22.9
3	AB	22.1
3	FC	19.0
3	FC	20.9
3	FC	19.9
5	WQ	22.3
5	WQ	19.5
5	WQ	20.5
5	OQ	20.9
5	OQ	22.9
5	OQ	20.6
5	AB	22.9
5	AB	19.7
5	AB	21.6
5	FC	19.6
5	FC	16.4
5	FC	20.5
10	WQ	15.2
10	WQ	17.1
10	WQ	16.6
10	OQ	16.4
10	OQ	19.0
10	OQ	18.1
10	AB	15.8
10	AB	17.3
10	AB	17.1
10	FC	16.4
10	FC	17.6
10	FC	17.6
