CONTENT	RECALL	FACTOR
VIOLENT	1	1
VIOLENT	2	1
VIOLENT	1	1
VIOLENT	2	1
VIOLENT	4	1
VIOLENT	0	1
VIOLENT	2	1
VIOLENT	3	1
VIOLENT	0	1
VIOLENT	2	1
VIOLENT	2	1
VIOLENT	3	1
VIOLENT	0	1
VIOLENT	1	1
VIOLENT	0	1
VIOLENT	0	1
VIOLENT	2	1
VIOLENT	3	1
VIOLENT	0	1
VIOLENT	0	1
VIOLENT	0	1
VIOLENT	2	1
VIOLENT	3	1
VIOLENT	5	1
VIOLENT	3	1
VIOLENT	0	1
VIOLENT	2	1
VIOLENT	3	1
VIOLENT	2	1
VIOLENT	1	1
VIOLENT	2	1
VIOLENT	0	1
VIOLENT	0	1
VIOLENT	3	1
VIOLENT	4	1
VIOLENT	3	1
VIOLENT	4	1
VIOLENT	0	1
VIOLENT	4	1
VIOLENT	1	1
VIOLENT	1	1
VIOLENT	4	1
VIOLENT	0	1
VIOLENT	4	1
VIOLENT	1	1
VIOLENT	5	1
VIOLENT	1	1
VIOLENT	1	1
VIOLENT	2	1
VIOLENT	4	1
VIOLENT	1	1
VIOLENT	6	1
VIOLENT	2	1
VIOLENT	2	1
VIOLENT	4	1
VIOLENT	1	1
VIOLENT	2	1
VIOLENT	4	1
VIOLENT	0	1
VIOLENT	3	1
VIOLENT	3	1
VIOLENT	0	1
VIOLENT	3	1
VIOLENT	1	1
VIOLENT	2	1
VIOLENT	7	1
VIOLENT	2	1
VIOLENT	0	1
VIOLENT	0	1
VIOLENT	3	1
VIOLENT	1	1
VIOLENT	5	1
VIOLENT	4	1
VIOLENT	2	1
VIOLENT	4	1
VIOLENT	0	1
VIOLENT	1	1
VIOLENT	0	1
VIOLENT	1	1
VIOLENT	2	1
VIOLENT	5	1
VIOLENT	2	1
VIOLENT	2	1
VIOLENT	5	1
VIOLENT	0	1
VIOLENT	3	1
VIOLENT	5	1
VIOLENT	5	1
VIOLENT	0	1
VIOLENT	0	1
VIOLENT	6	1
VIOLENT	0	1
VIOLENT	2	1
VIOLENT	0	1
VIOLENT	2	1
VIOLENT	2	1
VIOLENT	1	1
VIOLENT	3	1
VIOLENT	0	1
VIOLENT	4	1
VIOLENT	1	1
VIOLENT	2	1
VIOLENT	3	1
VIOLENT	2	1
VIOLENT	3	1
VIOLENT	0	1
