title,brand,final_price,images_count,weight,rating,reviews_count
Wuthering Heights (Collins Classics),Emily Brontë,3.99,4,7.8,4.6,13451
THE DAYS THE CRAYONS QUIT,Drew Daywalt,12.08,2,8.5,4.8,16628
Where the Wild Things Are,Maurice Sendak,13.2,6,14.4,4.9,27536
Pretty Girls,Karin Slaughter,9.99,5,11.2,4.3,10050
Mere Christianity,C. S. Lewis,22.49,5,15,4.8,10958
Mere Christianity,C. S. Lewis,13.69,4,6.9,4.8,10958
The Hating Game: A Novel,Sally Thorne,12.59,3,10.4,4.5,14801
The One and Only Ivan,"by Katherine Applegate (Author), Patricia Castelao (Illustrator)",6.96,3,11.8,4.8,17657
Of Mice and Men,John Steinbeck,8.18,5,2.4,4.7,20075
Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,6.69,3,4.2,4.7,20075
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,11.5,3,6.8,4.6,58209
They Both Die at the End,Adam Silvera,8.07,4,11.2,4.7,18823
The Bad Seed (The Food Group),Jory JohnPete Oswald,11.73,3,15.3,4.8,11122
"Insurgent (Divergent Series, 2)",Veronica Roth,11.49,3,14.9,4.6,19489
The Hate U Give,Angie Thomas,9.12,4,15.2,4.8,21341
Brave New World,Aldous Huxley,11.55,5,7.4,4.6,18262
The Dutch House: A Novel,Ann Patchett,10.9,1,9.6,4.4,26810
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Cover may vary)",Neil GaimanTerry Pratchett,8.99,1,8.8,4.7,14729
"The Selection (The Selection, 1)",Kiera Cass,6.48,4,9.3,4.6,11072
The Song of Achilles: A Novel,Madeline Miller,10.35,3,10.4,4.7,31125
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,10.35,6,14.4,4.8,87406
The Last Anniversary: A Novel,Liane Moriarty,7.98,1,12.8,4.2,10102
And Then There Were None (Agatha Christie Mysteries Collection (Paperback)),Agatha Christie,9.99,3,7.2,4.5,16752
And Then There Were None,Agatha Christie,7.99,4,6.1,4.5,16752
To Kill a Mockingbird,Harper Lee,7.19,4,9,4.8,53270
The Alice Network: A Novel,Kate Quinn,11.46,4,14.3,4.6,18709
The Last Mrs. Parrish: A Novel,Liv Constantine,12.58,2,10.4,4.4,12379
Leave the World Behind: A Novel,Rumaan Alam,13.59,2,7.2,3.6,11464
"Divergent 10th Anniversary Edition (Divergent Series, 1)",Veronica Roth,8.39,2,13.6,4.6,29549
"Insurgent Anniversary Edition (Divergent Series, 2)",Veronica Roth,10.39,2,15.2,4.6,19489
"Allegiant Anniversary Edition (Divergent Series, 3)",Veronica Roth,9.99,2,15.2,3.9,22362
Finding Freedom: Harry and Meghan,Omid ScobieCarolyn Durand,11.19,4,8.8,4.2,12951
The Woman in the Window: A Novel,A. J Finn,7.98,4,12,4.4,33470
Charlotte's Web,E. B WhiteGarth Williams,5.47,5,8.8,4.8,17487
Corduroy,Don Freeman,7.99,3,3,4.9,12752
Brave New World,Aldous Huxley,17.89,4,12.8,4.6,18262
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil GaimanTerry Pratchett,17.99,2,10.1,4.7,14729
Bridgerton [TV Tie-in] (Bridgertons Book 1),Julia Quinn,11.54,2,11.4,4.6,32433
The Last Mrs. Parrish: A Novel,Liv Constantine,7.48,2,8,4.4,12379
"The Viscount Who Loved Me: Bridgerton (Bridgertons, 2)",Julia Quinn,7.5,4,12.8,4.6,24901
"Offer from a Gentleman, An: Bridgerton (Bridgertons, 3)",Julia Quinn,13.58,2,11.2,4.6,17372
"Romancing Mister Bridgerton: Bridgerton (Bridgertons, 4)",Julia Quinn,8.99,2,12.8,4.6,21038
"To Sir Phillip, With Love: Bridgerton (Bridgertons, 5)",Julia Quinn,7.1,2,10.4,4.6,15975
"When He Was Wicked: Bridgerton (Bridgertons, 6)",Julia Quinn,6.9,2,12,4.6,14459
"It's in His Kiss: Bridgerton (Bridgertons, 7)",Julia Quinn,10.16,2,11.4,4.6,12470
"On the Way to the Wedding: Bridgerton (Bridgertons, 8)",Julia Quinn,7.09,2,14.4,4.6,11480
The Tattooist of Auschwitz: A Novel,Heather Morris,12.4,2,8,4.7,46174
Unfu*k Yourself: Get Out of Your Head and into Your Life (Unfu*k Yourself series),Gary John Bishop,12.99,2,9.6,4.6,16512
Charlotte's Web (Trophy Newbery),E. B. WhiteGarth Williams,7.64,6,4.8,4.8,17487
The Secret Garden (HarperClassics),Frances Hodgson Burnett,6.99,3,8.6,4.7,10041
I've Loved You Since Forever,Hoda KotbSuzie Mason,14.52,3,13.6,4.8,19794
I've Loved You Since Forever Board Book,Hoda KotbSuzie Mason,7.19,2,7,4.8,19794
Pride and Prejudice,Jane Austen,9,3,10.9,4.6,24978
Wuthering Heights (Penguin Classics),Emily Brontë,6.19,2,10.7,4.6,13451
The Picture of Dorian Gray,Oscar Wilde,8.69,5,7.9,4.5,10147
Where the Wild Things Are,Maurice Sendak,5,7,6.4,4.9,27536
"SuperLife: The 5 Simple Fixes That Will Make You Healthy, Fit, and Eternally Awesome",Darin Olien,10.79,2,8.6,4.7,10050
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,7.85,4,8.8,4.5,27096
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,13.99,4,12,4.7,13319
The Art of Racing in the Rain,Garth Stein,14.85,3,15,4.7,14886
The Art of Racing in the Rain: A Novel,Garth Stein,9.99,4,9,4.7,14886
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,17.63,1,11.5,4.8,43801
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,8.89,5,8.3,4.7,64522
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,11.22,2,11.2,4.7,12943
The Guest List: A Novel,Lucy Foley,13.09,2,9,4.2,54938
The Tattooist of Auschwitz: A Novel,Heather Morris,24.99,1,15.5,4.7,46174
Looking for Alaska,John Green,6.4,4,9.6,4.6,13463
The Gruffalo,Julia Donaldson,4.99,4,4.8,4.9,20576
The Outsiders,S. E. Hinton,5.89,4,8,4.8,25054
HarperLuxe The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,20.71,1,9.6,4.6,58209
The Duke and I: The (Bridgertons Book 1),Julia Quinn,4.99,3,7.2,4.6,32433
"To Sir Phillip, With Love (Bridgertons Book 5)",Julia Quinn,4.48,3,7.4,4.6,15975
When He Was Wicked (Bridgertons Book 6),Julia Quinn,4.48,3,7.2,4.6,14459
The Fault in Our Stars,John Green,6.1,4,12,4.7,57358
Room on the Broom,Julia Donaldson,6.98,3,5.1,4.9,29363
The Book of Longings: A Novel,Sue Monk Kidd,11.5,1,10.4,4.5,12828
The Invention of Wings,Sue Monk Kidd,12.71,2,9.6,4.7,17777
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,9.29,4,11.2,4.8,28517
Everything I Never Told You,Celeste Ng,7.25,3,8,4.3,21486
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",by Bessel van der Kolk M.D. (Author),11.4,3,13.4,4.8,39631
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor GarcíaFrancesc Miralles,12.99,3,9.6,4.6,19968
Wreck This Journal: Now in Color,Keri Smith,9.59,1,11.2,4.7,17424
The Salt Path: A Memoir,Raynor Winn,14.9,1,8,4.4,11306
We Were the Lucky Ones: A Novel,Georgia Hunter,8.79,4,9.9,4.7,10610
