ID,name,price,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
1,alfa-romero giulia,13495,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27
2,alfa-romero stelvio,16500,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27
3,alfa-romero Quadrifoglio,16500,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,19,26
4,audi 100 ls,13950,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30
5,audi 100ls,17450,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22
6,audi fox,15250,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25
7,audi 100ls,17710,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25
8,audi 5000,18920,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25
9,audi 4000,23875,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20
10,audi 5000s (diesel),17859.167,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,16,22
11,bmw 320i,16430,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29
12,bmw 320i,16925,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29
13,bmw x1,20970,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,21,28
14,bmw x3,21105,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,21,28
15,bmw z4,24565,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,20,25
16,bmw x4,30760,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,16,22
17,bmw x5,41315,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,16,22
18,bmw x3,36880,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,15,20
19,chevrolet impala,5151,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53
20,chevrolet monte carlo,6295,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43
21,chevrolet vega 2300,6575,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43
22,dodge rampage,5572,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41
23,dodge challenger se,6377,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38
24,dodge d200,7957,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30
25,dodge monaco (sw),6229,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38
26,dodge colt hardtop,6692,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38
27,dodge colt (sw),7609,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38
28,dodge coronet custom,8558,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30
