OPEID,Name,SchoolType,Region,Drate
001002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                     ,1,04,12.1
001003,FAULKNER UNIVERSITY                                              ,2,04,9.9
001004,UNIVERSITY OF MONTEVALLO                                         ,1,04,5.4
001005,ALABAMA STATE UNIVERSITY                                         ,1,04,12.8
001007,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,1,04,14.8
001008,ATHENS STATE UNIVERSITY                                          ,1,04,5.6
001009,AUBURN UNIVERSITY                                                ,1,04,2.6
001012,BIRMINGHAM-SOUTHERN COLLEGE                                      ,2,04,4.4
001013,CALHOUN COMMUNITY COLLEGE                                        ,1,04,11.0
001015,ENTERPRISE STATE COMMUNITY COLLEGE                               ,1,04,16.1
001016,UNIVERSITY OF NORTH ALABAMA                                      ,1,04,8.8
001019,HUNTINGDON COLLEGE                                               ,2,04,10.0
001020,JACKSONVILLE STATE UNIVERSITY                                    ,1,04,6.3
001022,JEFFERSON STATE COMMUNITY COLLEGE                                ,1,04,10.1
001023,JUDSON COLLEGE                                                   ,2,04,11.8
001024,UNIVERSITY OF WEST ALABAMA                                       ,1,04,5.8
001026,MARION MILITARY INSTITUTE                                        ,1,04,7.3
001028,MILES COLLEGE                                                    ,2,04,11.4
001029,UNIVERSITY OF MOBILE                                             ,2,04,7.2
001031,NORTHEAST ALABAMA COMMUNITY COLLEGE                              ,1,04,15.8
001033,OAKWOOD UNIVERSITY                                               ,2,04,11.8
001036,SAMFORD UNIVERSITY                                               ,2,04,2.0
001038,SNEAD STATE COMMUNITY COLLEGE                                    ,1,04,10.5
001040,SOUTHERN UNION STATE COMMUNITY COLLEGE                           ,1,04,10.9
001041,SPRING HILL COLLEGE                                              ,2,04,4.3
001044,STILLMAN COLLEGE                                                 ,2,04,17.7
001046,TALLADEGA COLLEGE                                                ,2,04,17.5
001047,TROY UNIVERSITY                                                  ,1,04,7.3
001050,TUSKEGEE UNIVERSITY                                              ,2,04,10.4
001051,UNIVERSITY OF ALABAMA                                            ,1,04,4.0
001052,UNIVERSITY OF ALABAMA AT BIRMINGHAM                              ,1,04,4.8
001055,UNIVERSITY OF ALABAMA IN HUNTSVILLE                              ,1,04,4.7
001057,UNIVERSITY OF SOUTH ALABAMA                                      ,1,04,6.3
001060,COASTAL ALABAMA COMMUNITY COLLEGE                                ,1,04,12.6
001061,ALASKA PACIFIC UNIVERSITY                                        ,2,10,5.9
001063,UNIVERSITY OF ALASKA FAIRBANKS                                   ,1,10,8.5
001065,UNIVERSITY OF ALASKA SOUTHEAST                                   ,1,10,5.1
001071,ARIZONA WESTERN COLLEGE                                          ,1,09,12.1
001072,COCHISE COLLEGE                                                  ,1,09,4.9
001074,GRAND CANYON UNIVERSITY                                          ,3,09,5.0
001076,GLENDALE COMMUNITY COLLEGE                                       ,1,09,12.1
001077,MESA COMMUNITY COLLEGE                                           ,1,09,11.2
001078,PHOENIX COLLEGE                                                  ,1,09,12.0
001079,YAVAPAI COLLEGE                                                  ,1,09,12.5
001081,ARIZONA STATE UNIVERSITY                                         ,1,09,4.5
001082,NORTHERN ARIZONA UNIVERSITY                                      ,1,09,4.6
001083,UNIVERSITY OF ARIZONA (THE)                                      ,1,09,5.4
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO                             ,1,06,10.4
001086,UNIVERSITY OF ARKANSAS AT PINE BLUFF                             ,1,06,13.6
001087,ARKANSAS BAPTIST COLLEGE                                         ,2,06,21.0
001088,LYON COLLEGE                                                     ,2,06,8.2
001089,ARKANSAS TECH UNIVERSITY                                         ,1,06,5.8
001090,ARKANSAS STATE UNIVERSITY                                        ,1,06,3.3
001091,ARKANSAS STATE UNIVERSITY - BEEBE                                ,1,06,7.0
001092,UNIVERSITY OF CENTRAL ARKANSAS                                   ,1,06,4.8
001093,CENTRAL BAPTIST COLLEGE                                          ,2,06,10.4
001094,UNIVERSITY OF THE OZARKS                                         ,2,06,20.3
001095,CROWLEY'S RIDGE COLLEGE                                          ,2,06,12.5
001097,HARDING UNIVERSITY                                               ,2,06,3.1
001098,HENDERSON STATE UNIVERSITY                                       ,1,06,4.8
001099,HENDRIX COLLEGE                                                  ,2,06,3.1
001100,JOHN BROWN UNIVERSITY                                            ,2,06,3.8
001101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK                            ,1,06,6.2
001102,OUACHITA BAPTIST UNIVERSITY                                      ,2,06,6.1
001103,PHILANDER SMITH COLLEGE                                          ,2,06,21.8
001104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,1,06,14.7
001105,SHORTER COLLEGE                                                  ,2,06,9.5
001106,WILLIAMS BAPTIST UNIVERSITY                                      ,2,06,8.6
001107,SOUTHERN ARKANSAS UNIVERSITY                                     ,1,06,13.4
001108,UNIVERSITY OF ARKANSAS                                           ,1,06,4.1
001109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES                      ,1,06,1.2
001110,UNIVERSITY OF ARKANSAS AT FORT SMITH                             ,1,06,7.9
001111,ALLAN HANCOCK COLLEGE                                            ,1,09,10.4
001113,ANTELOPE VALLEY COLLEGE                                          ,1,09,14.0
001116,ART CENTER COLLEGE OF DESIGN                                     ,2,09,3.2
001117,AZUSA PACIFIC UNIVERSITY                                         ,2,09,3.3
001118,BAKERSFIELD COLLEGE                                              ,1,09,10.4
001120,BERKELEY SCHOOL OF THEOLOGY                                      ,2,09,10.0
001122,BIOLA UNIVERSITY                                                 ,2,09,2.7
001124,CABRILLO COLLEGE                                                 ,1,09,8.9
001125,CALIFORNIA BAPTIST UNIVERSITY                                    ,2,09,3.1
001127,CALIFORNIA COLLEGE OF THE ARTS                                   ,2,09,4.2
001131,CALIFORNIA INSTITUTE OF TECHNOLOGY                               ,2,09,0.0
001132,CALIFORNIA INSTITUTE OF THE ARTS                                 ,2,09,4.5
001133,CALIFORNIA LUTHERAN UNIVERSITY                                   ,2,09,2.7
001134,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY                     ,1,09,1.8
001137,"CALIFORNIA STATE UNIVERSITY, FULLERTON                           ",1,09,2.5
001138,"CALIFORNIA STATE UNIVERSITY, EAST BAY                            ",1,09,4.4
001139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH                          ",1,09,2.4
001140,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES                         ",1,09,3.6
001141,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS                     ",1,09,4.1
001142,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO                      ",1,09,4.0
001143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY                          ,1,09,0.7
001144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA                  ",1,09,2.6
001146,"CALIFORNIA STATE UNIVERSITY, CHICO                               ",1,09,4.0
001147,"CALIFORNIA STATE UNIVERSITY, FRESNO                              ",1,09,3.2
001149,HUMBOLDT STATE UNIVERSITY                                        ,1,09,5.9
001150,CALIFORNIA STATE UNIVERSITY - SACRAMENTO                         ,1,09,3.9
001151,SAN DIEGO STATE UNIVERSITY                                       ,1,09,2.2
001153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                          ",1,09,3.7
001154,SAN FRANCISCO STATE UNIVERSITY                                   ,1,09,4.3
001155,SAN JOSE STATE UNIVERSITY                                        ,1,09,2.9
001156,SONOMA STATE UNIVERSITY                                          ,1,09,2.9
001157,"CALIFORNIA STATE UNIVERSITY, STANISLAUS                          ",1,09,3.3
001161,CERRITOS COMMUNITY COLLEGE                                       ,1,09,10.6
001162,CHABOT COLLEGE                                                   ,1,09,15.2
001163,CHAFFEY COMMUNITY COLLEGE                                        ,1,09,3.7
001164,CHAPMAN UNIVERSITY                                               ,2,09,2.1
001165,CHURCH DIVINITY SCHOOL OF THE PACIFIC                            ,2,09,0.0
001166,CITRUS COLLEGE                                                   ,1,09,11.1
001169,CLAREMONT GRADUATE UNIVERSITY                                    ,2,09,2.9
001170,CLAREMONT MCKENNA COLLEGE                                        ,2,09,1.3
001171,HARVEY MUDD COLLEGE                                              ,2,09,0.0
001172,PITZER COLLEGE                                                   ,2,09,1.6
001173,POMONA COLLEGE                                                   ,2,09,0.0
001174,SCRIPPS COLLEGE                                                  ,2,09,0.9
001176,WEST HILLS COMMUNITY COLLEGE                                     ,1,09,22.4
001177,UNIVERSITY OF SILICON VALLEY                                     ,3,09,3.5
001178,COLLEGE OF MARIN                                                 ,1,09,11.9
001179,NOTRE DAME DE NAMUR UNIVERSITY                                   ,2,09,4.7
001181,COLLEGE OF SAN MATEO                                             ,1,09,13.2
001182,COLLEGE OF THE DESERT                                            ,1,09,17.8
001183,HOLY NAMES UNIVERSITY                                            ,2,09,3.5
001185,COLLEGE OF THE REDWOODS                                          ,1,09,16.2
001186,COLLEGE OF THE SEQUOIAS                                          ,1,09,14.1
001187,COLLEGE OF THE SISKIYOUS                                         ,1,09,15.6
001190,CONTRA COSTA COLLEGE                                             ,1,09,11.1
001191,DIABLO VALLEY COLLEGE                                            ,1,09,7.5
001192,CUESTA COLLEGE                                                   ,1,09,8.7
001193,CYPRESS COLLEGE                                                  ,1,09,8.5
001196,DOMINICAN UNIVERSITY OF CALIFORNIA                               ,2,09,2.4
001197,EL CAMINO COLLEGE                                                ,1,09,6.2
001199,FOOTHILL COLLEGE                                                 ,1,09,11.2
001200,FULLER THEOLOGICAL SEMINARY                                      ,2,09,1.0
001201,FULLERTON COLLEGE                                                ,1,09,22.4
001202,GAVILAN COLLEGE                                                  ,1,09,7.6
001203,GLENDALE COMMUNITY COLLEGE                                       ,1,09,3.8
001205,GOLDEN GATE UNIVERSITY                                           ,2,09,1.9
001206,GOLDEN WEST COLLEGE                                              ,1,09,13.4
001207,GRADUATE THEOLOGICAL UNION                                       ,2,09,3.0
001208,GROSSMONT COLLEGE                                                ,1,09,14.4
001209,HARTNELL COMMUNITY COLLEGE                                       ,1,09,11.1
001212,HUMPHREYS UNIVERSITY                                             ,2,09,4.1
001215,LA SIERRA UNIVERSITY                                             ,2,09,3.5
001216,UNIVERSITY OF LA VERNE                                           ,2,09,3.1
001217,LASSEN COLLEGE                                                   ,1,09,17.5
001218,LOMA LINDA UNIVERSITY                                            ,2,09,0.6
001219,LONG BEACH CITY COLLEGE                                          ,1,09,13.7
001220,MASTER'S UNIVERSITY AND SEMINARY (THE)                           ,2,09,1.5
001223,LOS ANGELES CITY COLLEGE                                         ,1,09,8.7
001224,LOS ANGELES HARBOR COLLEGE                                       ,1,09,10.5
001226,LOS ANGELES PIERCE COLLEGE                                       ,1,09,7.9
001227,LOS ANGELES TRADE-TECHNICAL COLLEGE                              ,1,09,17.2
001228,LOS ANGELES VALLEY COLLEGE                                       ,1,09,8.2
001229,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES                ,2,09,4.3
001230,MARSHALL B. KETCHUM UNIVERSITY                                   ,2,09,0.0
001232,AMERICAN RIVER COLLEGE                                           ,1,09,14.9
001233,SACRAMENTO CITY COLLEGE                                          ,1,09,14.5
001236,MENLO COLLEGE                                                    ,2,09,7.4
001238,MILLS COLLEGE                                                    ,2,09,3.5
001239,MIRACOSTA COLLEGE                                                ,1,09,15.0
001242,MONTEREY PENINSULA COLLEGE                                       ,1,09,17.5
001243,MOUNT SAINT MARY'S UNIVERSITY                                    ,2,09,3.3
001245,MOUNT SAN ANTONIO COLLEGE                                        ,1,09,7.9
001246,MT. SAN JACINTO COLLEGE                                          ,1,09,8.6
001247,NAPA VALLEY COLLEGE                                              ,1,09,9.5
001249,OCCIDENTAL COLLEGE                                               ,2,09,1.2
001250,ORANGE COAST COLLEGE                                             ,1,09,12.9
001251,OTIS COLLEGE OF ART & DESIGN                                     ,2,09,2.1
001252,HOPE INTERNATIONAL UNIVERSITY                                    ,2,09,4.5
001253,FRESNO PACIFIC UNIVERSITY                                        ,2,09,4.5
001255,PACIFIC OAKS COLLEGE                                             ,2,09,3.4
001256,PACIFIC SCHOOL OF RELIGION                                       ,2,09,3.2
001258,PACIFIC UNION COLLEGE                                            ,2,09,5.4
001260,PALOMAR COLLEGE                                                  ,1,09,14.5
001261,PASADENA CITY COLLEGE                                            ,1,09,10.5
001262,POINT LOMA NAZARENE UNIVERSITY                                   ,2,09,2.0
001266,LANEY COLLEGE                                                    ,1,09,12.5
001267,MERRITT COLLEGE                                                  ,1,09,6.7
001269,RIO HONDO COMMUNITY COLLEGE                                      ,1,09,15.3
001270,RIVERSIDE CITY COLLEGE                                           ,1,09,11.5
001272,SAN BERNARDINO VALLEY COLLEGE                                    ,1,09,6.2
001273,SAN DIEGO CITY COLLEGE                                           ,1,09,18.2
001275,SAN DIEGO MESA COLLEGE                                           ,1,09,8.8
001278,SAN FRANCISCO CONSERVATORY OF MUSIC                              ,2,09,4.1
001280,SAN JOAQUIN DELTA COLLEGE                                        ,1,09,14.6
001281,WILLIAM JESSUP UNIVERSITY                                        ,2,09,5.0
001282,SAN JOSE CITY COLLEGE                                            ,1,09,17.3
001284,SANTA ANA COLLEGE                                                ,1,09,12.9
001285,SANTA BARBARA CITY COLLEGE                                       ,1,09,13.3
001286,SANTA MONICA COLLEGE                                             ,1,09,10.7
001287,SANTA ROSA JUNIOR COLLEGE                                        ,1,09,10.0
001288,CLAREMONT SCHOOL OF THEOLOGY                                     ,2,09,4.6
001289,SHASTA COLLEGE                                                   ,1,09,11.6
001290,SIERRA COLLEGE                                                   ,1,09,13.4
001291,SIMPSON UNIVERSITY                                               ,2,09,5.5
001292,SOLANO COMMUNITY COLLEGE                                         ,1,09,13.4
001293,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA                       ,2,09,5.0
001294,SOUTHWESTERN COMMUNITY COLLEGE DISTRICT                          ,1,09,9.2
001295,SOUTHWESTERN LAW SCHOOL                                          ,2,09,0.8
001296,DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY                      ,2,09,0.0
001302,SAINT MARY'S COLLEGE OF CALIFORNIA                               ,2,09,2.0
001305,STANFORD UNIVERSITY                                              ,2,09,0.5
001307,FRESNO CITY COLLEGE                                              ,1,09,13.0
001308,REEDLEY COLLEGE                                                  ,1,09,12.3
001312,"UNIVERSITY OF CALIFORNIA, BERKELEY                               ",1,09,1.8
001313,"UNIVERSITY OF CALIFORNIA, DAVIS                                  ",1,09,1.5
001314,"UNIVERSITY OF CALIFORNIA, IRVINE                                 ",1,09,1.4
001315,"UNIVERSITY OF CALIFORNIA, LOS ANGELES                            ",1,09,1.6
001316,"UNIVERSITY OF CALIFORNIA, RIVERSIDE                              ",1,09,2.3
001317,"UNIVERSITY OF CALIFORNIA, SAN DIEGO                              ",1,09,1.0
001319,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO                          ",1,09,1.0
001320,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA                          ",1,09,1.8
001321,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ                             ",1,09,2.9
001322,UNIVERSITY OF REDLANDS                                           ,2,09,1.6
001325,UNIVERSITY OF SAN FRANCISCO                                      ,2,09,1.5
001326,SANTA CLARA UNIVERSITY                                           ,2,09,0.7
001328,UNIVERSITY OF SOUTHERN CALIFORNIA                                ,2,09,1.3
001329,UNIVERSITY OF THE PACIFIC                                        ,2,09,1.7
001334,VENTURA COLLEGE                                                  ,1,09,12.1
001335,VICTOR VALLEY COMMUNITY COLLEGE                                  ,1,09,17.6
001338,WEST VALLEY COLLEGE                                              ,1,09,7.5
001339,CORBAN UNIVERSITY                                                ,2,10,3.0
001341,WESTMONT COLLEGE                                                 ,2,09,1.3
001342,WHITTIER COLLEGE                                                 ,2,09,2.5
001343,WOODBURY UNIVERSITY                                              ,2,09,4.4
001344,YUBA COLLEGE                                                     ,1,09,8.4
001345,ADAMS STATE UNIVERSITY                                           ,1,08,5.6
001346,ARAPAHOE COMMUNITY COLLEGE                                       ,1,08,8.7
001347,COLORADO COLLEGE                                                 ,2,08,0.5
001348,COLORADO SCHOOL OF MINES                                         ,1,08,0.7
001349,UNIVERSITY OF NORTHERN COLORADO                                  ,1,08,4.4
001350,COLORADO STATE UNIVERSITY                                        ,1,08,2.6
001352,DENVER SEMINARY                                                  ,2,08,2.7
001353,FORT LEWIS COLLEGE                                               ,1,08,9.5
001354,ILIFF SCHOOL OF THEOLOGY                                         ,2,08,2.0
001355,LAMAR COMMUNITY COLLEGE                                          ,1,08,14.4
001358,COLORADO MESA UNIVERSITY                                         ,1,08,8.1
001359,COLORADO NORTHWESTERN COMMUNITY COLLEGE                          ,1,08,9.5
001360,METROPOLITAN STATE UNIVERSITY OF DENVER                          ,1,08,6.8
001361,NORTHEASTERN JUNIOR COLLEGE                                      ,1,08,10.2
001362,OTERO JUNIOR COLLEGE                                             ,1,08,11.6
001363,REGIS UNIVERSITY                                                 ,2,08,3.2
001365,COLORADO STATE UNIVERSITY-PUEBLO                                 ,1,08,8.3
001368,TRINIDAD STATE JUNIOR COLLEGE                                    ,1,08,13.9
001370,UNIVERSITY OF COLORADO BOULDER                                   ,1,08,2.4
001371,UNIVERSITY OF DENVER                                             ,2,08,1.6
001372,WESTERN COLORADO UNIVERSITY                                      ,1,08,5.8
001374,ALBERTUS MAGNUS COLLEGE                                          ,2,01,5.6
001378,CENTRAL CONNECTICUT STATE UNIVERSITY                             ,1,01,5.7
001379,CONNECTICUT COLLEGE                                              ,2,01,1.4
001380,WESTERN CONNECTICUT STATE UNIVERSITY                             ,1,01,6.3
001385,FAIRFIELD UNIVERSITY                                             ,2,01,2.2
001387,HARTFORD SEMINARY                                                ,2,01,0.0
001389,HOLY APOSTLES COLLEGE & SEMINARY                                 ,2,01,2.4
001392,MANCHESTER COMMUNITY COLLEGE                                     ,1,01,6.4
001393,MITCHELL COLLEGE                                                 ,2,01,15.0
001397,UNIVERSITY OF NEW HAVEN                                          ,2,01,3.7
001398,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE                       ,1,01,5.4
001399,NORWALK COMMUNITY COLLEGE                                        ,1,01,13.0
001401,POST UNIVERSITY                                                  ,3,01,17.7
001402,QUINNIPIAC UNIVERSITY                                            ,2,01,2.3
001403,SACRED HEART UNIVERSITY                                          ,2,01,2.1
001406,SOUTHERN CONNECTICUT STATE UNIVERSITY                            ,1,01,5.3
001409,UNIVERSITY OF SAINT JOSEPH                                       ,2,01,2.6
001414,TRINITY COLLEGE                                                  ,2,01,1.9
001416,UNIVERSITY OF BRIDGEPORT                                         ,2,01,7.1
001417,UNIVERSITY OF CONNECTICUT                                        ,1,01,2.0
001422,UNIVERSITY OF HARTFORD                                           ,2,01,5.1
001424,WESLEYAN UNIVERSITY                                              ,2,01,1.1
001425,EASTERN CONNECTICUT STATE UNIVERSITY                             ,1,01,5.2
001426,YALE UNIVERSITY                                                  ,2,01,0.7
001428,DELAWARE STATE UNIVERSITY                                        ,1,03,11.2
001429,GOLDEY-BEACOM COLLEGE                                            ,2,03,9.3
001431,UNIVERSITY OF DELAWARE                                           ,1,03,2.1
001433,WESLEY COLLEGE                                                   ,2,03,14.4
001434,AMERICAN UNIVERSITY (THE)                                        ,2,03,1.7
001436,CAPITOL TECHNOLOGY UNIVERSITY                                    ,2,03,3.7
001437,CATHOLIC UNIVERSITY OF AMERICA (THE)                             ,2,03,2.4
001441,UNIVERSITY OF THE DISTRICT OF COLUMBIA                           ,1,03,11.2
001443,GALLAUDET UNIVERSITY                                             ,2,03,8.4
001444,GEORGE WASHINGTON UNIVERSITY                                     ,2,03,1.3
001445,GEORGETOWN UNIVERSITY                                            ,2,03,0.7
001448,HOWARD UNIVERSITY                                                ,2,03,6.0
001459,STRAYER UNIVERSITY                                               ,3,03,8.6
001460,TRINITY WASHINGTON UNIVERSITY                                    ,2,03,8.7
001464,WESLEY THEOLOGICAL SEMINARY                                      ,2,03,7.9
001466,BARRY UNIVERSITY                                                 ,2,04,5.8
001467,BETHUNE COOKMAN UNIVERSITY                                       ,2,04,23.6
001468,SAINT THOMAS UNIVERSITY                                          ,2,04,5.8
001469,FLORIDA INSTITUTE OF TECHNOLOGY                                  ,2,04,5.2
001470,EASTERN FLORIDA STATE COLLEGE                                    ,1,04,11.8
001471,COLLEGE OF CENTRAL FLORIDA                                       ,1,04,8.8
001472,CHIPOLA COLLEGE                                                  ,1,04,0.0
001475,DAYTONA STATE COLLEGE                                            ,1,04,11.1
001477,FLORIDA SOUTHWESTERN STATE COLLEGE                               ,1,04,8.7
001478,EDWARD WATERS COLLEGE                                            ,2,04,26.6
001479,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY                             ,2,04,4.1
001480,FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY                     ,1,04,7.6
