OPEID,Name,SchoolType,Region,Drate
1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                     ,1,4,12.1
1004,UNIVERSITY OF MONTEVALLO                                         ,1,4,5.4
1005,ALABAMA STATE UNIVERSITY                                         ,1,4,12.8
1007,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,1,4,14.8
1008,ATHENS STATE UNIVERSITY                                          ,1,4,5.6
1009,AUBURN UNIVERSITY                                                ,1,4,2.6
1013,CALHOUN COMMUNITY COLLEGE                                        ,1,4,11
1015,ENTERPRISE STATE COMMUNITY COLLEGE                               ,1,4,16.1
1016,UNIVERSITY OF NORTH ALABAMA                                      ,1,4,8.8
1020,JACKSONVILLE STATE UNIVERSITY                                    ,1,4,6.3
1022,JEFFERSON STATE COMMUNITY COLLEGE                                ,1,4,10.1
1024,UNIVERSITY OF WEST ALABAMA                                       ,1,4,5.8
1026,MARION MILITARY INSTITUTE                                        ,1,4,7.3
1031,NORTHEAST ALABAMA COMMUNITY COLLEGE                              ,1,4,15.8
1038,SNEAD STATE COMMUNITY COLLEGE                                    ,1,4,10.5
1040,SOUTHERN UNION STATE COMMUNITY COLLEGE                           ,1,4,10.9
1047,TROY UNIVERSITY                                                  ,1,4,7.3
1051,UNIVERSITY OF ALABAMA                                            ,1,4,4
1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM                              ,1,4,4.8
1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE                              ,1,4,4.7
1057,UNIVERSITY OF SOUTH ALABAMA                                      ,1,4,6.3
1060,COASTAL ALABAMA COMMUNITY COLLEGE                                ,1,4,12.6
1063,UNIVERSITY OF ALASKA FAIRBANKS                                   ,1,10,8.5
1065,UNIVERSITY OF ALASKA SOUTHEAST                                   ,1,10,5.1
1071,ARIZONA WESTERN COLLEGE                                          ,1,9,12.1
1072,COCHISE COLLEGE                                                  ,1,9,4.9
1076,GLENDALE COMMUNITY COLLEGE                                       ,1,9,12.1
1077,MESA COMMUNITY COLLEGE                                           ,1,9,11.2
1078,PHOENIX COLLEGE                                                  ,1,9,12
1079,YAVAPAI COLLEGE                                                  ,1,9,12.5
1081,ARIZONA STATE UNIVERSITY                                         ,1,9,4.5
1082,NORTHERN ARIZONA UNIVERSITY                                      ,1,9,4.6
1083,UNIVERSITY OF ARIZONA (THE)                                      ,1,9,5.4
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO                             ,1,6,10.4
1086,UNIVERSITY OF ARKANSAS AT PINE BLUFF                             ,1,6,13.6
1089,ARKANSAS TECH UNIVERSITY                                         ,1,6,5.8
1090,ARKANSAS STATE UNIVERSITY                                        ,1,6,3.3
