OPEID,Name,SchoolType,R,Drate
1378,CENTRAL CONNECTICUT STATE UNIVERSITY                             ,Public,Boston,5.7
1380,WESTERN CONNECTICUT STATE UNIVERSITY                             ,Public,Boston,6.3
1392,MANCHESTER COMMUNITY COLLEGE                                     ,Public,Boston,6.4
1398,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE                       ,Public,Boston,5.4
1399,NORWALK COMMUNITY COLLEGE                                        ,Public,Boston,13
1406,SOUTHERN CONNECTICUT STATE UNIVERSITY                            ,Public,Boston,5.3
1417,UNIVERSITY OF CONNECTICUT                                        ,Public,Boston,2
1425,EASTERN CONNECTICUT STATE UNIVERSITY                             ,Public,Boston,5.2
2033,UNIVERSITY OF MAINE - PRESQUE ISLE                               ,Public,Boston,12.7
2040,UNIVERSITY OF MAINE - FARMINGTON                                 ,Public,Boston,6.7
2041,UNIVERSITY OF MAINE - FORT KENT                                  ,Public,Boston,5
2044,MAINE MARITIME ACADEMY                                           ,Public,Boston,2.2
2053,UNIVERSITY OF MAINE                                              ,Public,Boston,4
2054,UNIVERSITY OF SOUTHERN MAINE                                     ,Public,Boston,4.2
2161,UNIVERSITY OF MASSACHUSETTS - LOWELL                             ,Public,Boston,3.5
2167,BERKSHIRE COMMUNITY COLLEGE                                      ,Public,Boston,8.4
2168,CAPE COD COMMUNITY COLLEGE                                       ,Public,Boston,10.5
2169,GREENFIELD COMMUNITY COLLEGE                                     ,Public,Boston,11.7
2170,HOLYOKE COMMUNITY COLLEGE                                        ,Public,Boston,9.5
2171,MASSACHUSETTS BAY COMMUNITY COLLEGE                              ,Public,Boston,7.2
2172,MOUNT WACHUSETT COMMUNITY COLLEGE                                ,Public,Boston,11.3
2173,NORTH SHORE COMMUNITY COLLEGE                                    ,Public,Boston,10.4
2174,NORTHERN ESSEX COMMUNITY COLLEGE                                 ,Public,Boston,9.5
2175,QUINSIGAMOND COMMUNITY COLLEGE                                   ,Public,Boston,8
2176,BRISTOL COMMUNITY COLLEGE                                        ,Public,Boston,12.3
2177,MASSASOIT COMMUNITY COLLEGE                                      ,Public,Boston,11.1
2180,MASSACHUSETTS COLLEGE OF ART AND DESIGN                          ,Public,Boston,2.8
2181,MASSACHUSETTS MARITIME ACADEMY                                   ,Public,Boston,0.8
2183,BRIDGEWATER STATE UNIVERSITY                                     ,Public,Boston,5.6
2184,FITCHBURG STATE UNIVERSITY                                       ,Public,Boston,4.8
2185,FRAMINGHAM STATE UNIVERSITY                                      ,Public,Boston,3.8
2187,MASSACHUSETTS COLLEGE OF LIBERAL ARTS                            ,Public,Boston,3.4
2188,SALEM STATE UNIVERSITY                                           ,Public,Boston,5.9
2189,WESTFIELD STATE UNIVERSITY                                       ,Public,Boston,3.8
2190,WORCESTER STATE UNIVERSITY                                       ,Public,Boston,4.4
2205,QUINCY COLLEGE                                                   ,Public,Boston,8.7
2210,UNIVERSITY OF MASSACHUSETTS - DARTMOUTH                          ,Public,Boston,5.8
2221,UNIVERSITY OF MASSACHUSETTS - AMHERST                            ,Public,Boston,1.9
