country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_share_elec,coal_share_energy
Algeria,2022,DZA,44903228,,,,,,,,,,,-51.791,-1.608,33.338,1.497,,,,0.219
Angola,2022,AGO,35588996,,,,,,,,,,,,,,,,,,
Argentina,2022,ARG,45510324,,33.704,3.512,306.113,13.931,45.484,2.07,1.441,1.392,338.275,2.465,0.346,316.387,14.399,59.107,2.69,1.872,1.438
Australia,2022,AUS,26177410,,7.797,0.096,50.855,1.331,116.513,3.05,1.212,0.08,503.179,-4.791,-21.677,16455.543,430.763,4543.23,118.93,47.254,25.931
Austria,2022,AUT,8939617,,-4.431,-0.221,534.141,4.775,404.939,3.62,5.596,1.251,157.52,-5.488,-1.643,3164.75,28.292,15.661,0.14,0.216,7.414
Azerbaijan,2022,AZE,10358078,,,,,,,,,,,0,0,0.15,0.002,,,,0.001
Bahrain,2022,BHR,1472237,,,,,,,,,,,,,,,,,,
Bangladesh,2022,BGD,171186368,,,,,,0.175,0.03,0.035,,577.027,18.036,7.631,291.742,49.942,71.267,12.2,14.314,10.018
Belarus,2022,BLR,9534956,,-100,-0.152,0,0,,,,0,,8.328,0.824,1124.454,10.722,,,,3.612
Belgium,2022,BEL,11655923,,7.994,0.664,769.63,8.971,381.78,4.45,4.705,1.318,165.363,3.374,1.044,2744.635,31.991,3.432,0.04,0.042,4.7
Bolivia,2022,BOL,12224114,,,,,,47.447,0.58,5.146,,323.869,,,,,0,0,0,
Bosnia and Herzegovina,2022,BIH,3233530,,,,,,3.093,0.01,0.062,,517.241,,,,,3089.503,9.99,61.515,
Brazil,2022,BRA,215313504,,-0.631,-1.535,1123.715,241.951,266.681,57.42,8.433,6.496,102.044,-17.81,-35.247,755.465,162.662,72.685,15.65,2.298,4.367
Brunei,2022,BRN,449002,,,,,,,,,,,,,,,,,,
Bulgaria,2022,BGR,6781955,,63.232,1.246,474.191,3.216,383.37,2.6,5.14,1.388,399.565,19.438,11.839,10726.563,72.747,3153.958,21.39,42.289,31.387
Burundi,2022,BDI,12889583,,,,,,0.776,0.01,2.778,,250,,,,,0,0,0,
Canada,2022,CAN,38454328,,-4.875,-1.204,610.979,23.495,235.604,9.06,1.419,0.598,127.816,-22.382,-30.922,2788.582,107.233,1059.439,40.74,6.381,2.73
Chad,2022,TCD,17723312,,,,,,,,,,,,,,,,,,
Chile,2022,CHL,19603736,,,,,,,,,,332.612,-24.587,-19.943,3120.24,61.168,977.365,19.16,23.023,12.312
China,2022,CHN,1425887360,,-1.205,-0.34,19.549,27.874,120.718,172.13,1.947,0.063,531.151,1.004,244.012,17224.002,24559.486,3801.976,5421.19,61.332,55.469
Colombia,2022,COL,51874028,,2.376,0.22,182.958,9.491,23.904,1.24,1.467,1.558,168.954,-9.429,-2.966,549.263,28.493,84.05,4.36,5.159,4.676
Congo,2022,COG,5970430,,,,,,,,,,,,,,,,,,
Costa Rica,2022,CRI,5180836,,,,,,3.86,0.02,0.158,,37.213,,,,,0,0,0,
Croatia,2022,HRV,4030361,,3.886,0.041,274.089,1.105,287.815,1.16,8.215,1.168,246.459,-0.975,-0.047,1186.811,4.783,382.1,1.54,10.907,5.057
Cyprus,2022,CYP,1251492,,3.383,0.008,205.064,0.257,47.943,0.06,1.141,,589.354,-20.656,-0.099,304.29,0.381,0,0,0,
Czechia,2022,CZE,10493990,,-4.932,-0.207,380.159,3.989,506.004,5.31,6.239,0.859,415.345,8.478,12.785,15589.091,163.592,3522.969,36.97,43.438,35.236
Denmark,2022,DNK,5882259,,-2.335,-0.071,502.087,2.953,1351.521,7.95,23.097,1.559,180.709,-3.262,-0.404,2039.191,11.995,615.41,3.62,10.517,6.333
Ecuador,2022,ECU,18001002,,8.909,0.015,9.977,0.18,19.443,0.35,1.057,0.082,188.708,45.459,0.25,44.431,0.8,0,0,0,0.366
Egypt,2022,EGY,110990096,,,,,,0,0,0,,485.367,1.077,0.152,128.533,14.266,0,0,0,1.29
El Salvador,2022,SLV,6336393,,,,,,71.018,0.45,5.906,,194.226,,,,,0,0,0,
