Gender,DominantHand,Height,Weight,FingertipTemperature,FingerprintHeight,FingerprintWidth,FingerprintArea,FingerprintCircumference
Male,Right,174,70,34,19.8,13.7,240.6,57.7
Male,Right,202,99,30,24,14.1,278.8,62.7
Male,Right,182.3,82,29,20,13.7,223.8,55.5
Male,Right,184,75,29,23.2,14,281.8,63.3
Male,Right,180.7,80.3,29,22.7,15,286.7,62.7
Male,Right,180,59,32,24.3,14,299,65.6
Female,Right,169.7,71,28,20,15,252.7,58
Male,Right,192,81,28,20.6,13.4,238.6,58
Male,Right,186.7,74,26,24.1,16.3,333.2,67.6
Male,Right,187.7,85,32,22.6,14.6,286.2,63.6
Male,Right,181.3,73.7,31,25.8,15.2,327.4,69.4
Male,Right,180.7,68,27,21.1,15.6,286.1,62.4
Male,Right,178.7,61.7,22,19.7,12.3,214.2,55.3
Female,Left,158,44,27,17.5,9.9,149.4,46.4
Female,Right,170,69,31,20.2,12.5,212.6,54.7
Female,Right,172,56,24,17.4,10.9,171.3,49.3
Female,Left,171.3,76.7,33,20.8,13.5,234.8,56.6
Female,Right,160.7,55,26,19.4,11.3,183.9,51.5
Male,Right,179.7,77.3,32,22.3,14.7,280.9,62.4
Female,Right,167.7,60,24,17.5,12.7,196,51.7
Female,Right,168,76,30,19.7,12,199.7,53
Female,Right,159,56,23,17.3,10.9,158.2,47.3
Male,Right,188.7,73,29,23,14,264,61
Female,Right,166,65,27,18.4,11.1,171.4,49.3
Female,Right,163,73,31,18.3,11.9,192.8,52.1
Female,Right,176,55,27,17.5,11.3,173,49.4
Male,Right,176,64,29,21.2,12.6,238.7,59
Male,Right,190.7,86,30,21.3,14.1,256.4,60
Female,Left,167,52.7,23,18.4,12,187.2,51.1
Female,Right,170.3,59,28,20.6,10.8,193.2,53.4
Female,Right,162,55.3,24,19.8,12.1,211.5,54.7
Male,Right,170.3,63,33,21,14.2,251.5,58.4
Female,Right,162,53.3,26,17.2,11.7,169.6,48.6
Male,Right,176.7,64.7,30,20.8,15.4,271.1,60.2
Male,Right,180,78,29,21.9,15.9,293.3,62.7
Male,Right,184.3,74,29,20.8,14.1,248.4,59
Female,Right,170,55,29,17.8,12,183,50.5
Female,Right,165,54.7,29,18.6,12.5,195,51.8
Female,Right,168.7,55,30,21.1,13.9,236.4,56.7
Female,Right,185.7,64,30,18.4,12,190.4,51.4
Male,Right,170,60,28,19.9,14.3,241.9,57.3
Male,Right,173.7,61,31,19,14.3,238.4,60
Male,Right,177.3,67,23,20.8,15.9,283.7,62
Male,Right,176.7,68,30,20.6,13.5,227.5,56.3
Male,Right,191.3,91,30,25.6,16.6,358.9,70.5
Female,Right,178,69,29,17.9,12.1,188.3,51.1
Female,Left,167.3,60,26,18,12.8,194.4,51.3
Female,Right,153.3,56,26,15.9,13.7,182.8,49.1
Male,Right,190,80,28,23.6,13.7,286.3,64.5
Female,Right,168,70,29,21.3,13.3,248.4,59
Female,Right,173.7,66.3,27,20.8,10.8,201.5,56.1
Male,Right,173,80,35,22.4,14.4,290.2,64.3
Male,Left,169,65,31,20.4,13.4,236.8,57.4
Female,Right,167,60,29,18.6,11.6,180.8,50
Female,Left,153.7,51,30,17.3,12.3,176.5,48.7
Male,Right,178.3,86,29,21.9,14,250.7,59.1
Male,Right,167,68,26,20.5,13.7,237.7,56.8
Male,Right,171,74,33,22,13.9,256.8,59.7
Male,right,168.7,61,,23.5,14.7,294.3,64
Male,right,173.3,76.3,,17.4,13.8,203.6,52
Female,Left,180,76.3,,17.5,11.4,166.3,47.7
Female,Right,174,77.3,,17.8,11.8,175.1,48.7
Female,Right,154,56,,21.6,15.8,283.7,61.9
Female,Left,168,66.3,,20,13.6,233.4,56.6
Female,Right,169,70.3,,20.9,12,208.2,54.7
Male,Right,180,63,,20.4,14.8,252.5,59
Male,Right,182,71.3,,20.2,13.6,229.8,56.2
Male,Right,181,66.3,,19.5,13.9,222.2,54.5
Female,Right,161.7,56,,20,11.9,203.5,53.6
Male,Right,185,71.3,,22.1,13.1,247.7,59.1
Female,Right,184,75.3,22,18.4,12.7,199.1,52.3
Female,right,181.3,56,22,20.8,13.1,230.4,57.1
Male,right,174,102,28,22.3,14.6,274.6,62.2
Male,left,184.7,96,32,19.8,14.4,246.1,57.8
Female,Right,163,75.7,24,19.4,12.1,194.5,51.8
Male,Right,172,79.7,32,22,14.3,269.3,61.3
Male,right,186,87.7,34,24.8,15.8,332.6,63.4
Male,Right,177.3,112,35,20.3,15.3,254.9,58
Male,Right,166.3,69.3,31,22,13.3,248.9,59.4
Female,Right,169.3,51,23,16.9,10.3,148.9,45.5
Female,Right,165.3,122.3,32,17.3,11.4,169.9,48.4
Female,Right,152,81.7,27,19.6,12.6,203.9,52.8
Female,Left,165.7,61,23,20.9,12.3,223.9,56.6
Female,Right,166,122.7,31,17.9,13.1,199.5,51.6
Male,Right,177.3,76.7,30,20.7,13.5,227.1,55.9
Male,right,178,94,29,19.6,14.5,238.7,56.8
Female,Right,162.3,56,28,19,11.6,184.3,51
Male,Right,189,76.3,24,22.5,13.9,262.3,60.9
Male,Right,173,87.7,32,18.9,13.5,219.5,54.8
Male,Right,177,73.3,32,19.8,14.3,242.6,57.4
Male,Right,193,98,28,21.1,14.7,261.5,59.6
Male,right,172.3,85.3,33,19.3,13.6,227.9,55.8
Female,right,169.3,51,22,17.1,11.5,173.9,49.8
Male,Right,183.7,76.3,22,23.1,14.7,288.5,64.1
Male,right,170,60,23,19.6,13.6,222.2,54.8
Male,Right,187.3,68.3,22,22,14.1,276.7,63
Male,right,172.7,71.3,24,17.5,14.1,211.1,52.9
Female,Right,165.7,57,27,19.9,12.4,209,54.1
Male,Right,185,92,26,22.1,15.1,274.8,61.3
Male,Left,185,76.7,24,22.6,15.7,288.4,62.5
Female,Left,165.7,13,33,17.9,12.8,198.4,51.9
Male,Right,178,61,23,20.1,13.3,235.3,57.3
Female,Right,154.7,56,28,15.6,10.5,140,44.2
Male,Right,182.3,107,25,19.9,13.5,221,54.9
Female,Right,169,66.3,34,20.8,11.5,202.9,54.1
Male,Left,177.3,67.3,31,22.3,13.1,255,60.7
Male,Right,173,66.3,24,22,13.1,251,60.2
Female,Right,160.3,66,31,19.1,12.9,204.8,53
Male,Left,185,82.3,28,22.1,13.9,267.3,61.1
Male,Right,186.7,110,29,21.4,17.1,303.6,63.7
Male,Right,176,97,30,18.4,13.6,217.2,54.3
Male,Left,166,76.7,31,21.9,16.4,297.2,62.7
Male,Right,175,71.3,32,23,15.1,299.6,64.2
Male,Right,193.3,92,28,21.7,14.2,273.2,62.2
Male,Right,174.3,75.3,24,20.5,14.2,236.3,56.3
Female,Right,163,75.3,30,19.3,12.7,197.2,51.8
Male,Right,171,81.7,34,19.6,14.3,237.4,56.8
Male,Right,171,56,31,20.5,12.8,209,54.2
Male,Right,175,76.7,24,21,14.1,249.3,58.2
Male,Left,173,69.3,29,21.3,14.1,245.8,58.1
Male,Right,168.7,86.7,22,19,12,194.5,51.8
Female,Right,162,55.3,22,17,12.2,174.2,48.5
Female,Right,160.3,55.7,29,17.2,11.6,168.5,47.8
Female,Left,165,57,31,16.9,11.4,161.9,47.2
Male,Right,184,82.7,30,22,13.2,247.4,59.2
Female,Right,170,56,32,18.4,12.3,183.8,50.1
Female,Left,167,61,24,19.1,13,212.2,54
Male,Right,174.7,78.7,33,20,13.7,233.7,56.3
Male,Right,174,78.7,25,22,14.8,279.9,62.4
Male,Left,186,99,24,22.9,15,286.9,62.6
Female,Right,174.3,66.3,28,19.7,11.9,205.3,54.4
Female,Right,153,59,32,16.7,10.6,145.9,44.9
Male,Right,182,76.7,31,20.2,13.5,228.8,55.8
Male,Right,182,97,30,21.1,15.8,276.9,60.8
Male,Right,170.3,81.7,27,19.4,12.8,218.4,54.9
Male,right,177.7,97,30,18.9,13.4,211.2,53.3
Male,Right,182.7,86.7,28,20.1,15.6,260.9,58.7
Male,Left,178,66.3,25,18.1,13,199.3,51.9
Male,Left,168,70.3,26,19.7,13.8,222.9,54.6
Male,Right,184,66.3,24,20.6,12.5,227.9,57
Female,Right,159,52,28,21.7,13.1,244,58.5
Female,Right,167,62.3,26,20.2,11.2,192.4,53.9
Female,Right,161,66.3,29,23.9,14.4,285.6,63.6
Male,Right,172.7,88.7,22,24.1,14.1,285,64.4
Male,Right,173.3,56,27,20.2,12.7,215.3,54.6
Male,Right,169.7,73.3,33,20.3,15.6,263.6,59.5
Male,Right,176,76.7,31,19.8,13.2,220.5,54.9
Male,Right,179.3,71.3,26,24.4,15.7,324.1,66.8
Male,Right,182,78.7,,21.1,12.4,225.7,56.8
Male,Right,164,67.7,,20.6,13.2,232.9,56.5
Male,Right,170,76.7,,21.7,14.3,264.1,60.7
Male,Right,192,98,26,22.2,14.7,263.9,60.1
Male,Right,182.3,86.7,31,21.1,13.4,236.5,57.1
Male,Right,177,78.7,30,22.1,13.6,255.1,59.7
Female,Right,173.3,74.7,30,16.8,12.1,169.6,47.8
Male,Right,178,66.3,33,19.8,13.8,220.1,54.5
Male,Right,180,75.7,32,21.2,15.8,273.1,60
Male,Right,170,78.7,34,18.6,13,201.9,52.3
Male,Right,176.7,89.7,31,19.7,14,231.1,56.1
Male,Right,181,89.7,30,23.4,15.3,300.6,64.1
Female,Right,153,49,31,16.7,11.6,154.1,45.7
Female,Right,162.3,58,30,17.6,11.9,176.9,49.5
Male,Right,182,80.7,31,22.1,15.9,284.7,61.6
Male,Right,172,92,30,23.1,16.3,320.5,66.5
Female,Right,165.3,64,26,18.6,12.1,193.2,52
Female,Right,175,66.3,22,20.7,11.7,208.9,54.8
Female,Right,154.7,59,30,17.1,10.9,159,46.9
Male,Right,177.7,87.7,33,22.4,14.6,268,60.6
Male,Right,170,64.3,24,23.1,14.5,275.5,61.7
Male,Right,187.7,85.7,27,22,14.9,272.6,61.2
Female,Left,155,57,31,19.2,13.2,213.8,53.7
Male,Right,184.7,75.7,25,21.4,14.3,249.8,58.5
Male,Right,174.7,76.7,27,22.4,17.1,317.5,64.9
Female,Right,161.3,59,24,18.9,12.8,197,51.7
Female,Right,174,71.3,32,23.7,13.3,274,63.1
Male,Left,172.7,86.7,31,18.2,14.8,231.8,55.4
Female,Right,157.7,71.3,28,18.5,15,227.3,54.6
Female,Right,168,70.3,,19.1,12,193.4,51.7
Female,Right,168,59,29,21.5,12,222.6,56.8
Male,Right,173,70.3,32,20.1,14.7,245.4,57.1
Female,Right,172,71.3,34,20.7,12.3,213.5,56.3
Female,Right,170,81.7,32,22.1,14.4,266.2,60.4
Female,Right,173,92.7,29,20.6,13.6,232.1,56.2
Female,Right,161,51,29,17.2,11.2,157.6,46.5
Male,Left,185,81.7,33,23.7,14.5,290.6,64.1
Female,Right,172,92,31,19.8,13.8,217.8,54.1
Female,Right,148,51,29,16.2,10.8,148,45
Male,Right,174,71.3,33,21.7,14.7,259.1,59.4
Male,Right,186.3,74.3,31,24,15.7,296.4,64.6
Male,Right,173,110,34,20.5,16.6,287.1,61.5
Female,Right,172,79.7,34,21.3,13.4,232.5,57.3
Female,Right,153,54.7,30,17.8,12.1,183.5,50.2
Male,Right,176.7,81.7,30,22.3,14.9,282.2,62.2
Female,Left,161,81.7,33,22.2,15,274.2,60.9
Female,Right,170,59,30,20.6,13.9,230.2,55.8
Female,Right,164,66.3,31,19.1,12.5,202.5,52.9
Male,Right,172,75.7,31,21.9,13,234.8,57.5
Male,Right,174,63.3,25,22.1,15.1,284.1,62
Male,Right,174.7,79.7,33,21.9,15.3,279.2,61.7
Female,Right,165,72.3,31,19.6,12.4,196.2,52.2
