School,percentage,SRS,SOS,TotalPoints,OppPoints,FGA,FGPercent,3P,3PA,3PPercent,FT,FTA,FTPercent,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,0.433,-2.79,0.9,2249,2133,1800,0.451,211,613,0.344,414,573,0.723,307,972,471,264,71,379,617
Air Force,0.438,2,2.12,2142,2146,1636,0.462,261,733,0.356,369,511,0.722,213,946,491,184,127,391,544
Akron,0.667,4.19,-1.65,2463,2209,1898,0.445,300,845,0.355,475,643,0.739,335,1178,443,199,87,370,529
Alabama NCAA,0.838,23.19,9.65,3027,2526,2314,0.442,366,1093,0.335,615,848,0.725,484,1652,555,224,189,512,691
Alabama A&M,0.455,-10.78,-7.71,2297,2340,1868,0.441,226,610,0.37,425,649,0.655,334,1079,419,264,133,498,624
Alabama State,0.258,-16.33,-6.29,1963,2252,1821,0.375,185,605,0.306,412,584,0.705,387,1117,309,182,110,414,557
Albany (NY),0.258,-14.36,-4.53,2086,2332,1755,0.414,237,725,0.327,397,550,0.722,317,1033,363,178,51,414,576
Alcorn State,0.563,-8.74,-5.81,2165,2259,1868,0.408,164,554,0.296,475,659,0.721,384,1087,316,257,80,404,605
American,0.531,-8.26,-7.73,2093,2110,1630,0.482,204,589,0.346,319,455,0.701,259,970,436,238,126,448,482
Appalachian State,0.5,-1.5,-0.98,2248,2067,1854,0.442,243,726,0.335,367,543,0.676,288,1142,417,204,146,352,442
Arizona NCAA,0.8,19.08,8.34,2866,2490,2072,0.494,295,781,0.378,525,742,0.708,356,1376,662,213,110,468,593
Arizona State NCAA,0.639,11.29,8.18,2559,2447,2163,0.421,274,851,0.322,465,675,0.689,395,1315,515,255,170,422,668
Arkansas NCAA,0.611,15.99,9.87,2666,2446,2063,0.466,179,572,0.313,565,810,0.698,373,1272,462,302,182,458,694
Arkansas State,0.394,-8.07,-3.3,2169,2232,1799,0.432,209,593,0.352,406,600,0.677,325,1108,433,220,108,385,553
Arkansas-Pine Bluff,0.323,-12.99,-5.36,2074,2162,1791,0.391,245,776,0.316,427,587,0.727,314,1071,396,250,86,473,611
Army,0.515,-7.13,-7.58,2412,2322,1853,0.478,252,718,0.351,390,570,0.684,280,1132,432,168,70,427,532
Auburn NCAA,0.618,14.35,9.29,2474,2302,1991,0.439,221,701,0.315,503,723,0.696,396,1231,479,263,172,414,655
Austin Peay,0.29,-12.17,-2.6,2067,2241,1790,0.415,222,690,0.322,359,495,0.725,312,972,387,220,94,364,525
Ball State,0.625,-1.2,-3.5,2445,2292,1785,0.471,240,651,0.369,523,759,0.689,337,1147,422,176,123,391,525
Baylor NCAA,0.676,17.3,10.54,2619,2389,1957,0.45,323,878,0.368,536,720,0.744,391,1155,483,223,82,413,590
Bellarmine,0.455,-7.42,-1.35,2187,2216,1738,0.459,264,752,0.351,329,436,0.755,217,960,467,184,45,368,522
Belmont,0.656,1.88,-1.93,2447,2299,1902,0.472,307,791,0.388,344,474,0.726,267,1055,488,225,101,365,499
Bethune-Cookman,0.375,-17.15,-7.82,2172,2401,1863,0.414,219,606,0.361,409,586,0.698,321,1038,362,231,90,413,555
Binghamton,0.419,-10.44,-5.51,2133,2217,1763,0.45,172,533,0.323,373,523,0.713,301,1086,361,144,98,404,558
Boise State NCAA,0.706,12.78,6.21,2451,2198,1938,0.453,265,733,0.362,430,587,0.733,307,1215,385,171,97,379,555
Boston College,0.485,1.09,4.73,2197,2317,1873,0.437,188,590,0.319,371,512,0.725,308,1093,413,210,118,405,521
Boston University,0.469,-8.1,-6.52,2147,2151,1845,0.412,238,722,0.33,387,524,0.739,328,1136,335,205,79,384,561
Bowling Green State,0.355,-8.46,-3.81,2355,2434,1859,0.452,224,658,0.34,451,622,0.725,326,1109,428,188,93,378,550
Bradley,0.714,6.51,-0.67,2473,2195,1989,0.461,276,777,0.355,363,546,0.665,341,1240,465,238,136,409,565
Brigham Young,0.559,9.43,5.4,2568,2376,2008,0.455,276,812,0.34,466,650,0.717,374,1272,501,251,135,481,659
Brown,0.519,-2.47,-2.69,1878,1872,1557,0.438,216,622,0.347,298,464,0.642,241,942,372,194,87,361,438
Bryant,0.567,-3.59,-4.52,2381,2193,1821,0.466,243,714,0.34,442,602,0.734,318,1179,403,200,106,402,518
Bucknell,0.375,-9.93,-6.96,2161,2192,1749,0.456,235,660,0.356,332,463,0.717,260,1084,429,176,121,427,498
Buffalo,0.469,-2.97,0.67,2481,2485,2000,0.453,224,696,0.322,445,632,0.704,377,1208,470,254,102,452,602
Butler,0.438,5.85,8.54,2088,2174,1767,0.436,207,633,0.327,339,459,0.739,207,958,403,216,138,378,429
Cal Poly,0.242,-7.51,-0.54,2006,2174,1733,0.413,181,615,0.294,395,531,0.744,281,1080,341,181,82,457,653
Cal State Bakersfield,0.333,-8.34,-1.47,1995,2134,1770,0.414,142,437,0.325,389,512,0.76,311,1055,355,205,100,424,621
Cal State Fullerton,0.606,1.73,-0.27,2283,2148,1812,0.43,253,686,0.369,472,681,0.693,303,1108,340,214,85,391,590
Cal State Northridge,0.219,-10.4,-1.74,2028,2194,1735,0.401,184,575,0.32,454,612,0.742,313,1066,314,201,99,400,605
