Team,Code,Wins,OffPY,OffRY,PA,FGP,Penalty,TurnoverDiff,OppPY,OppRY
Arizona Cardinals,ARI,7,4136,1732,362,0.75,227,0,3365,1518
Atlanta Falcons,ATL,11,4725,1928,406,0.919,217,11,4267,1672
Baltimore Ravens,BAL,8,4100,1463,321,0.974,219,5,3724,1430
Buffalo Bills,BUF,7,3036,2630,378,0.76,218,6,3582,2130
Carolina Panthers,CAR,6,3685,1814,402,0.789,210,-2,4291,1465
Chicago Bears,CHI,3,3969,1735,399,0.783,213,-20,3598,1950
Cincinnati Bengals,CIN,6,3942,1769,315,0.8,193,3,3800,1812
Cleveland Browns,CLE,1,3264,1712,452,0.778,199,-12,3996,2283
Dallas Cowboys,DAL,13,3631,2396,306,0.844,195,5,4167,1336
Denver Broncos,DEN,9,3685,1484,297,0.853,229,2,2972,2085
Detroit Lions,DET,9,4111,1310,358,0.861,222,-1,3975,1701
Green Bay Packers,GB,10,4199,1701,388,0.867,209,8,4308,1515
Houston Texans,HOU,9,3176,1859,328,0.854,201,-7,3226,1595
Indianapolis Colts,IND,8,4202,1628,392,0.871,228,-5,4200,1926
Jacksonville Jaguars,JAX,3,3728,1631,400,0.794,230,-16,3444,1703
Kansas City Chiefs,KC,12,3740,1748,311,0.886,218,16,3958,1938
Los Angeles Rams,LAR,4,2951,1252,394,0.864,234,-11,3732,1660
Miami Dolphins,MIA,10,3500,1824,380,0.762,234,2,3875,2247
Minnesota Vikings,MIN,8,3836,1205,307,0.871,202,11,3327,1711
New England Patriots,NE,14,4308,1872,250,0.844,206,12,3806,1417
New Orleans Saints,NO,7,5074,1742,454,0.824,211,-3,4380,1626
New York Giants,NYG,11,3879,1412,284,0.955,192,-2,4018,1417
New York Jets,NYJ,5,3466,1802,409,0.871,167,-20,3898,1581
Oakland Raiders,OAK,12,4051,1922,385,0.829,262,16,4120,1881
Philadelphia Eagles,PHI,7,3585,1813,331,0.854,212,6,3832,1652
Pittsburgh Steelers,PIT,11,4202,1760,327,0.857,221,5,3882,1600
San Diego Chargers,SD,5,4198,1510,423,0.813,226,-7,3987,1567
San Francisco 49ers,SF,2,2911,2019,480,0.857,192,-5,3848,2654
Seattle Seahawks,SEA,10,4124,1591,292,0.892,220,1,3612,1487
Tampa Bay Buccaneers,TB,9,3926,1616,369,0.71,230,2,4012,1875
Tennessee Titans,TEN,9,3541,2187,378,0.917,247,0,4307,1413
Washington Redskins,WAS,8,4758,1696,383,0.81,210,0,4130,1916
