Country,WeightedTotal,Total,TGold,TSilver,TBronze,GoldPrize,YOTotal,GDP,Population,WomanLaborForce,TotalAthletes,Distance
Australia,126,53,18,19,16,20000,16,1723.827215,26.713205,61.518,460,9400
Belgium,20,10,3,1,6,54606,7,632.2165771,11.738763,50.551,165,200
Brazil,36,20,3,7,10,49000,13,2173.665656,211.998573,53.133,277,5500
Canada,61,27,9,7,11,14572,9,2140.085568,39.74243,61.14,316,4200
China,238,91,40,27,24,768000,36,17794.78199,1419.321278,60.537,288,4900
Denmark,17,9,2,2,5,15962,4,404.1987575,5.977412,59.519,123,800
France,138,64,16,26,22,86670,27,3030.90409,66.54853,52.782,572,0
Germany,82,33,12,13,8,22000,9,4456.081017,84.552242,56.448,427,500
Great Britain,129,65,14,22,29,0,12,3340.03,69.138192,58.258,327,700
Hungary,44,19,6,7,6,150000,24,212.3889065,9.676135,53.976,169,1000
Iran,27,12,3,6,3,295000,14,401.5,91.567738,14.38,39,3600
Italy,89,40,12,13,15,213000,34,2254.851213,59.342867,41.273,380,1000
Japan,117,45,20,12,13,32000,39,4212.94516,123.753041,54.853,410,6000
Kenya,25,11,4,2,5,23292,4,107.4405758,56.432944,72.203,70,6400
Netherlands,86,34,15,7,12,32614,6,1118.12475,18.228742,61.724,276,400
New Zealand,57,20,10,7,3,36118,5,253.4657032,5.213944,67.566,195,11800
Poland,17,10,1,4,5,51572,4,811.2291007,38.539201,51.576,214,1000
Romania,22,9,3,4,2,79000,8,351.0025796,19.015088,42.366,107,1400
South Korea,80,32,13,9,10,54767,12,1712.79,51.71759,55.774,16,5700
Spain,37,18,5,4,9,111562,9,1580.694713,47.910526,52.626,382,800
Sweden,27,11,4,4,3,0,6,593.267701,10.606999,63.375,117,1300
Ukraine,26,12,3,5,4,125000,18,178.7570214,37.860221,47.791,140,1600
United States,290,126,40,44,42,38000,18,27360.935,345.426571,56.511,593,5000
Uzbekistan,39,13,8,2,3,200000,14,90.88914931,36.361859,39.92,86,3800
