Country,WeightedTotal,Total,TGold,TSilver,TBronze,GoldPrize,SilverPrize,BronzePrize,YOGold,YOSilver,YOBronze,YOTotal,GDP,Population,WomanLaborForce,TotalAthletes,Distance
Australia,126,53,18,19,16,20000.00,15000.00,10000.00,4,8,4,16,1723.8,26.71,61.52,460,"9,400"
Belgium,20,10,3,1,6,54606.00,32764.00,21843.00,2,3,2,7,632.2,11.74,50.55,165,200
Brazil,36,20,3,7,10,49000.00,29000.00,20000.00,2,4,7,13,2173.7,212.00,53.13,277,"5,500"
Canada,61,27,9,7,11,14572.00,10929.00,7286.00,0,3,6,9,2140.1,39.74,61.14,316,"4,200"
China,238,91,40,27,24,768000.00,384000.00,192000.00,18,9,9,36,17794.8,1419.32,60.54,288,"4,900"
Denmark,17,9,2,2,5,15962.00,11971.00,7981.00,2,1,1,4,404.2,5.98,59.52,123,800
France,138,64,16,26,22,86670.00,43335.00,21667.00,5,15,7,27,3030.9,66.55,52.78,572,0
Germany,82,33,12,13,8,22000.00,17000.00,11000.00,3,4,2,9,4456.1,84.55,56.45,427,500
Great Britain,129,65,14,22,29,0.00,0.00,0.00,3,4,5,12,3340.0,69.14,58.26,327,700
Hungary,44,19,6,7,6,150000.00,106000.00,84000.00,12,7,5,24,212.4,9.68,53.98,169,"1,000"
Iran,27,12,3,6,3,295000.00,131000.00,66000.00,7,3,4,14,401.5,91.57,14.38,39,"3,600"
Italy,89,40,12,13,15,213000.00,107000.00,71000.00,11,10,13,34,2254.9,59.34,41.27,380,"1,000"
Japan,117,45,20,12,13,32000.00,13000.00,6000.00,15,12,12,39,4212.9,123.75,54.85,410,"6,000"
Kenya,25,11,4,2,5,23292.00,15528.00,7764.00,3,1,0,4,107.4,56.43,72.20,70,"6,400"
Netherlands,86,34,15,7,12,32614.00,24460.00,16307.00,0,1,5,6,1118.1,18.23,61.72,276,400
New Zealand,57,20,10,7,3,36118.00,33100.00,33100.00,3,1,1,5,253.5,5.21,67.57,195,"11,800"
Poland,17,10,1,4,5,51572.00,37389.00,27075.00,0,1,3,4,811.2,38.54,51.58,214,"1,000"
Romania,22,9,3,4,2,79000.00,72000.00,65000.00,2,3,3,8,351.0,19.02,42.37,107,"1,400"
South Korea,80,32,13,9,10,54767.00,30426.00,21733.00,1,4,7,12,1712.8,51.72,55.77,16,"5,700"
Spain,37,18,5,4,9,111562.00,56968.00,35605.00,1,3,5,9,1580.7,47.91,52.63,382,800
Sweden,27,11,4,4,3,0.00,0.00,0.00,3,2,1,6,593.3,10.61,63.38,117,"1,300"
Ukraine,26,12,3,5,4,125000.00,100000.00,80000.00,5,7,6,18,178.8,37.86,47.79,140,"1,600"
United States,290,126,40,44,42,38000.00,23000.00,15000.00,6,5,7,18,27360.9,345.43,56.51,593,"5,000"
Uzbekistan,39,13,8,2,3,200000.00,100000.00,50000.00,4,5,5,14,90.9,36.36,39.92,86,"3,800"
