Observation,body_mass_g,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,sex,year
1,3750,Adelie,Torgersen,39.1,18.7,181,male,2007
2,3800,Adelie,Torgersen,39.5,17.4,186,female,2007
3,3250,Adelie,Torgersen,40.3,18,195,female,2007
4,NA,Adelie,Torgersen,NA,NA,NA,NA,2007
5,3450,Adelie,Torgersen,36.7,19.3,193,female,2007
6,3650,Adelie,Torgersen,39.3,20.6,190,male,2007
7,3625,Adelie,Torgersen,38.9,17.8,181,female,2007
8,4675,Adelie,Torgersen,39.2,19.6,195,male,2007
9,3475,Adelie,Torgersen,34.1,18.1,193,NA,2007
10,4250,Adelie,Torgersen,42,20.2,190,NA,2007
11,3300,Adelie,Torgersen,37.8,17.1,186,NA,2007
12,3700,Adelie,Torgersen,37.8,17.3,180,NA,2007
13,3200,Adelie,Torgersen,41.1,17.6,182,female,2007
14,3800,Adelie,Torgersen,38.6,21.2,191,male,2007
15,4400,Adelie,Torgersen,34.6,21.1,198,male,2007
16,3700,Adelie,Torgersen,36.6,17.8,185,female,2007
17,3450,Adelie,Torgersen,38.7,19,195,female,2007
18,4500,Adelie,Torgersen,42.5,20.7,197,male,2007
19,3325,Adelie,Torgersen,34.4,18.4,184,female,2007
20,4200,Adelie,Torgersen,46,21.5,194,male,2007
21,3400,Adelie,Biscoe,37.8,18.3,174,female,2007
22,3600,Adelie,Biscoe,37.7,18.7,180,male,2007
23,3800,Adelie,Biscoe,35.9,19.2,189,female,2007
24,3950,Adelie,Biscoe,38.2,18.1,185,male,2007
25,3800,Adelie,Biscoe,38.8,17.2,180,male,2007
26,3800,Adelie,Biscoe,35.3,18.9,187,female,2007
27,3550,Adelie,Biscoe,40.6,18.6,183,male,2007
28,3200,Adelie,Biscoe,40.5,17.9,187,female,2007
29,3150,Adelie,Biscoe,37.9,18.6,172,female,2007
30,3950,Adelie,Biscoe,40.5,18.9,180,male,2007
31,3250,Adelie,Dream,39.5,16.7,178,female,2007
32,3900,Adelie,Dream,37.2,18.1,178,male,2007
33,3300,Adelie,Dream,39.5,17.8,188,female,2007
34,3900,Adelie,Dream,40.9,18.9,184,male,2007
35,3325,Adelie,Dream,36.4,17,195,female,2007
36,4150,Adelie,Dream,39.2,21.1,196,male,2007
37,3950,Adelie,Dream,38.8,20,190,male,2007
38,3550,Adelie,Dream,42.2,18.5,180,female,2007
39,3300,Adelie,Dream,37.6,19.3,181,female,2007
