usage,demand
679,0.79
292,0.44
1012,0.56
493,0.79
582,2.7
1156,3.64
997,4.73
2189,9.5
1097,5.34
2078,6.85
1818,5.84
1700,5.21
747,3.25
2030,4.43
1643,3.16
414,0.5
354,0.17
1276,1.88
745,0.77
435,1.39
540,0.56
874,1.56
1543,5.28
1029,0.64
710,4
1434,0.31
837,4.2
1748,4.88
1381,3.48
1428,7.58
1255,2.63
1777,4.99
370,0.59
2316,8.19
1130,4.79
463,0.51
770,1.74
724,4.1
808,3.94
790,0.96
783,3.29
406,0.44
1242,3.24
658,2.14
1746,5.71
468,0.64
1114,1.9
413,0.51
1787,8.33
3560,14.94
1495,5.11
2221,3.85
1526,3.93
